combo_id,combo_type,signals,thresholds,n,fire_rate,hit_rate_su,hit_rate_ats,holdout_su,holdout_ats,p_value,consistent,seasons_passing,lx_days,merged,timestamp
20260306T233109Z_01159,trio,FFC_season_diff|MTI|WL_L7_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""WL_L7_diff"": 0.0}",615,0.1449,0.9415,,0.8444,0.7963,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01160,trio,DPC_season_diff|FFC_season_diff|MTI,"{""DPC_season_diff"": 0.9424185463659166, ""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003}",670,0.1579,0.9388,,0.8839,0.8,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01161,trio,FFC_season_diff|MTI|WL_L4_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""WL_L4_diff"": 0.0}",595,0.1402,0.9361,,0.8943,0.8085,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01162,trio,ANE_season_diff|FFC_season_diff|MTI,"{""ANE_season_diff"": 2.2442307692307684, ""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003}",872,0.2055,0.9312,,0.8726,0.7742,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01163,trio,FFC_season_diff|MTI|WL_season_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""WL_season_diff"": 0.0083333333333333}",821,0.1934,0.9306,,0.8598,0.7692,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01164,trio,FFC_season_diff|MTI|PEQ_season_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""PEQ_season_diff"": 1.6500000000000004}",756,0.1781,0.9299,,0.8654,0.7742,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01165,trio,ANE_season_diff|FFC_L7_diff|MTI,"{""ANE_season_diff"": 2.2442307692307684, ""FFC_L7_diff"": 0.1335714285714271, ""MTI"": 18.950000000000003}",658,0.155,0.9286,,0.8346,0.7451,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01166,trio,ANE_L7_diff|FFC_season_diff|MTI,"{""ANE_L7_diff"": 1.385714285714288, ""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003}",656,0.1546,0.9284,,0.8792,0.7895,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01167,trio,FFC_season_diff|MTI|PEQ_L10_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""PEQ_L10_diff"": 0.6900000000000013}",500,0.1178,0.928,,0.871,0.7581,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01168,trio,FFC_L7_diff|MTI|WL_L7_diff,"{""FFC_L7_diff"": 0.1335714285714271, ""MTI"": 18.950000000000003, ""WL_L7_diff"": 0.0}",633,0.1492,0.9273,,0.7985,0.8,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01169,trio,DPC_L4_diff|FFC_season_diff|MTI,"{""DPC_L4_diff"": 0.5499999999999989, ""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003}",548,0.1291,0.927,,0.9352,0.875,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01170,trio,FFC_season_diff|MTI|PEQ_L12_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""PEQ_L12_diff"": 0.6263888888888887}",462,0.1089,0.9264,,0.8616,0.7541,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01171,trio,FFC_season_diff|MTI|PEQ_L7_diff,"{""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003, ""PEQ_L7_diff"": 0.9642857142857152}",576,0.1357,0.9253,,0.8645,0.7966,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01172,trio,ANE_L4_diff|FFC_season_diff|MTI,"{""ANE_L4_diff"": 1.2999999999999994, ""FFC_season_diff"": 0.2499444444444448, ""MTI"": 18.950000000000003}",691,0.1628,0.9247,,0.9048,0.8113,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01173,trio,ANE_season_diff|FFC_L4_diff|MTI,"{""ANE_season_diff"": 2.2442307692307684, ""FFC_L4_diff"": 0.11062499999999935, ""MTI"": 18.950000000000003}",698,0.1645,0.9241,,0.8462,0.74,0.0,True,1,False,True,20260306T233109Z
20260306T233109Z_01174,trio,DPC_season_diff|FFC_L7_diff|MTI,"{""DPC_season_diff"": 0.9424185463659166, ""FFC_L7_diff"": 0.1335714285714271, ""MTI"": 18.950000000000003}",510,0.1202,0.9235,,,,0.0,True,1,False,False,20260306T233109Z
20260306T233109Z_01176,trio,FFC_L7_diff|MTI|WL_L4_diff,"{""FFC_L7_diff"": 0.1335714285714271, ""MTI"": 18.950000000000003, ""WL_L4_diff"": 0.0}",534,0.1258,0.9232,,0.8387,0.814,0.0,True,1,False,True,20260306T233109Z
