rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
1,Washington Huskies,264,Pac-12,1,0-0,0-0,0-0,107.1,187.5,80.4,11.2,0.9999,,1.0,0.0,0.0,-103.0,,,,,,,,52.2,A+,50.0,0.0,0.0,0.0,100.0,83.4,49.5,0.0,100.0,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,70.8,,0.0,37.5,62.5,41.7,33.3,75.0,80.0,,,,2026-02-24 15:50 PST,Pac-12
2,George Washington Revolutionaries,45,Big Ten,1,0-0,0-0,0-0,54.2,149.1,94.9,14.8,0.9945,,0.995,0.0,0.0,-103.0,,,,,,,,100.0,A+,50.0,100.0,0.0,0.0,100.0,88.8,74.2,0.0,86.2,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,105.6,,27.1,0.0,100.0,44.4,33.3,100.0,75.0,,,,2026-02-24 15:50 PST,Big Ten
3,Miami (OH) RedHawks,193,Mid-American Conference,1,0-0,0-0,0-0,33.6,94.1,60.5,14.9,0.9938,,0.994,0.0,0.0,-103.0,,,,,,,,78.8,A+,50.0,56.1,0.0,0.0,100.0,28.6,36.3,0.0,31.0,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,42.9,,13.4,20.0,80.0,14.3,28.6,0.0,100.0,,,,2026-02-24 15:50 PST,Mid-American Conference
4,Saint Francis Red Flash,2598,Sun Belt Conference,1,0-0,0-0,0-0,28.0,127.8,99.8,32.1,0.945,,0.945,0.0,0.0,-103.0,,,,,,,,87.9,A+,50.0,81.5,0.0,0.0,100.0,60.8,54.2,0.0,50.7,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,73.9,,24.9,12.5,87.5,30.4,30.4,28.6,100.0,,,,2026-02-24 15:50 PST,Sun Belt Conference
5,Massachusetts Minutemen,113,Mid-American Conference,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Mid-American Conference
6,Arizona Wildcats,12,Southeastern Conference,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Southeastern Conference
7,Michigan Wolverines,130,Pac-12,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Pac-12
8,Minnesota Golden Gophers,135,Pac-12,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Pac-12
9,Saint Louis Billikens,139,Big Ten,2,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Big Ten
10,Missouri Tigers,142,Patriot League,1,0-0,0-0,0-0,0.0,103.0,103.0,70.0,0.5,,0.5,0.0,0.0,-103.0,,,,,,,,44.2,B-,50.0,,0.0,0.0,100.0,,,0.0,,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,,,,,,,,,,,,,2026-02-24 15:50 PST,Patriot League
