team_id,team,conference,wins,losses,home_wins,home_losses,away_wins,away_losses,neutral_wins,neutral_losses,avg_margin,avg_ortg,avg_drtg,avg_pace,ats_wins,ats_losses,ou_over,ou_under,avg_pred_spread_error,avg_clv,clv_positive_rate,avg_clv_edge_games,clv_sample_size,clv_grade,updated_at
43,Yale Bulldogs,12,1,0,1,0,0,0,0,0,4.0,110.6,104.6,66.9,,,,,,,,,,,2026-02-23T09:17:05Z
47,Howard Bison,16,1,0,1,0,0,0,0,0,33.0,141.2,94.6,70.8,,,,,,,,,,,2026-02-23T09:17:05Z
48,Delaware Blue Hens,11,0,1,0,0,0,1,0,0,-12.0,106.0,125.3,62.2,,,,,,,,,,,2026-02-23T09:17:05Z
52,Florida State Seminoles,2,1,0,0,0,1,0,0,0,5.0,120.6,112.0,58.0,,,,,,,,,,,2026-02-23T09:17:05Z
57,Florida Gators,23,1,0,0,0,1,0,0,0,19.0,122.6,97.8,76.7,,,,,,,,,,,2026-02-23T09:17:05Z
59,Georgia Tech Yellow Jackets,2,0,1,0,0,0,1,0,0,-17.0,95.5,118.7,73.3,,,,,,,,,,,2026-02-23T09:17:05Z
84,Indiana Hoosiers,7,0,1,0,0,0,1,0,0,-29.0,102.2,148.6,62.6,,,,,,,,,,,2026-02-23T09:17:05Z
87,Notre Dame Fighting Irish,2,0,1,0,0,0,1,0,0,-5.0,107.7,115.6,63.2,,,,,,,,,,,2026-02-23T09:17:05Z
97,Louisville Cardinals,2,1,0,1,0,0,0,0,0,17.0,119.5,96.2,72.8,,,,,,,,,,,2026-02-23T09:17:05Z
108,Harvard Crimson,12,1,0,0,0,1,0,0,0,19.0,123.0,91.0,59.4,,,,,,,,,,,2026-02-23T09:17:05Z
111,Northeastern Huskies,10,0,1,0,1,0,0,0,0,-14.0,105.8,127.6,64.3,,,,,,,,,,,2026-02-23T09:17:05Z
116,Mount St. Mary's Mountaineers,13,1,0,1,0,0,0,0,0,13.0,110.1,91.3,69.0,,,,,,,,,,,2026-02-23T09:17:05Z
135,Minnesota Golden Gophers,7,1,0,1,0,0,0,0,0,19.0,137.7,105.0,58.1,,,,,,,,,,,2026-02-23T09:17:05Z
139,Saint Louis Billikens,3,1,0,1,0,0,0,0,0,13.0,113.8,96.9,77.4,,,,,,,,,,,2026-02-23T09:17:05Z
140,Kansas City Roos,49,0,1,0,0,0,1,0,0,-36.0,75.6,121.7,78.0,,,,,,,,,,,2026-02-23T09:17:05Z
145,Ole Miss Rebels,23,0,1,0,1,0,0,0,0,-19.0,99.4,124.6,75.4,,,,,,,,,,,2026-02-23T09:17:05Z
151,East Carolina Pirates,62,0,1,0,0,0,1,0,0,-12.0,86.0,104.4,65.1,,,,,,,,,,,2026-02-23T09:17:05Z
153,North Carolina Tar Heels,2,1,0,0,0,1,0,0,0,13.0,114.4,95.1,67.3,,,,,,,,,,,2026-02-23T09:17:05Z
154,Wake Forest Demon Deacons,2,0,1,0,0,0,1,0,0,-19.0,104.9,136.6,60.0,,,,,,,,,,,2026-02-23T09:17:05Z
156,Creighton Bluejays,4,0,1,0,0,0,1,0,0,-29.0,70.3,109.6,73.9,,,,,,,,,,,2026-02-23T09:17:05Z
158,Nebraska Cornhuskers,7,1,0,1,0,0,0,0,0,23.0,127.4,93.7,68.3,,,,,,,,,,,2026-02-23T09:17:05Z
159,Dartmouth Big Green,12,1,0,0,0,1,0,0,0,1.0,96.3,94.8,66.5,,,,,,,,,,,2026-02-23T09:17:05Z
163,Princeton Tigers,12,0,1,0,0,0,1,0,0,-9.0,115.0,129.5,61.8,,,,,,,,,,,2026-02-23T09:17:05Z
164,Rutgers Scarlet Knights,7,0,1,0,0,0,1,0,0,-19.0,104.2,136.7,58.5,,,,,,,,,,,2026-02-23T09:17:05Z
171,Columbia Lions,12,0,1,0,1,0,0,0,0,-1.0,94.1,95.6,67.0,,,,,,,,,,,2026-02-23T09:17:05Z
172,Cornell Big Red,12,0,1,0,1,0,0,0,0,-19.0,90.4,122.2,59.7,,,,,,,,,,,2026-02-23T09:17:05Z
183,Syracuse Orange,2,0,1,0,1,0,0,0,0,-13.0,95.5,114.9,67.0,,,,,,,,,,,2026-02-23T09:17:05Z
189,Bowling Green Falcons,14,0,1,0,0,0,1,0,0,-14.0,104.6,123.6,73.6,,,,,,,,,,,2026-02-23T09:17:05Z
193,Miami (OH) RedHawks,14,1,0,1,0,0,0,0,0,14.0,124.9,105.7,72.9,,,,,,,,,,,2026-02-23T09:17:05Z
213,Penn State Nittany Lions,7,0,1,0,0,0,1,0,0,-23.0,92.1,125.2,69.5,,,,,,,,,,,2026-02-23T09:17:05Z
219,Pennsylvania Quakers,12,0,1,0,0,0,1,0,0,-4.0,107.4,113.6,65.2,,,,,,,,,,,2026-02-23T09:17:05Z
221,Pittsburgh Panthers,2,1,0,1,0,0,0,0,0,5.0,119.9,111.7,60.9,,,,,,,,,,,2026-02-23T09:17:05Z
225,Brown Bears,12,1,0,1,0,0,0,0,0,9.0,123.5,109.6,64.8,,,,,,,,,,,2026-02-23T09:17:05Z
228,Clemson Tigers,2,0,1,0,1,0,0,0,0,-5.0,107.3,115.5,60.6,,,,,,,,,,,2026-02-23T09:17:05Z
236,Chattanooga Mocs,24,1,0,0,0,1,0,0,0,21.0,132.0,102.2,70.5,,,,,,,,,,,2026-02-23T09:17:05Z
238,Vanderbilt Commodores,23,0,1,0,1,0,0,0,0,-4.0,103.3,109.7,62.9,,,,,,,,,,,2026-02-23T09:17:05Z
258,Virginia Cavaliers,2,1,0,1,0,0,0,0,0,3.0,136.7,131.9,62.9,,,,,,,,,,,2026-02-23T09:17:05Z
259,Virginia Tech Hokies,2,1,0,1,0,0,0,0,0,19.0,136.6,104.9,60.0,,,,,,,,,,,2026-02-23T09:17:05Z
270,Milwaukee Panthers,45,0,1,0,0,0,1,0,0,-5.0,122.2,129.3,70.4,,,,,,,,,,,2026-02-23T09:17:05Z
276,Marshall Thundering Herd,27,0,1,0,0,0,1,0,0,-4.0,98.8,104.1,75.9,,,,,,,,,,,2026-02-23T09:17:05Z
284,Stonehill Skyhawks,19,1,0,1,0,0,0,0,0,9.0,112.3,99.2,68.6,,,,,,,,,,,2026-02-23T09:17:05Z
290,Georgia Southern Eagles,27,0,1,0,0,0,1,0,0,-15.0,105.7,127.1,70.0,,,,,,,,,,,2026-02-23T09:17:05Z
309,Louisiana Ragin' Cajuns,27,1,0,1,0,0,0,0,0,13.0,114.8,92.5,58.4,,,,,,,,,,,2026-02-23T09:17:05Z
314,Iona Gaels,13,1,0,1,0,0,0,0,0,8.0,95.7,85.1,75.2,,,,,,,,,,,2026-02-23T09:17:05Z
315,Niagara Purple Eagles,13,0,1,0,0,0,1,0,0,-13.0,90.9,109.6,69.3,,,,,,,,,,,2026-02-23T09:17:05Z
324,Coastal Carolina Chanticleers,27,1,0,1,0,0,0,0,0,4.0,108.3,102.8,73.0,,,,,,,,,,,2026-02-23T09:17:05Z
326,Texas State Bobcats,27,0,1,0,0,0,1,0,0,-13.0,90.1,111.8,59.9,,,,,,,,,,,2026-02-23T09:17:05Z
344,Mississippi State Bulldogs,23,0,1,0,0,0,1,0,0,-8.0,121.6,132.5,73.2,,,,,,,,,,,2026-02-23T09:17:05Z
349,Army Black Knights,22,0,1,0,1,0,0,0,0,-18.0,99.2,127.6,63.5,,,,,,,,,,,2026-02-23T09:17:05Z
399,UAlbany Great Danes,1,0,1,0,0,0,1,0,0,-4.0,105.5,112.3,58.8,,,,,,,,,,,2026-02-23T09:17:05Z
526,Florida Gulf Coast Eagles,46,1,0,1,0,0,0,0,0,4.0,103.1,97.6,72.7,,,,,,,,,,,2026-02-23T09:17:05Z
2006,Akron Zips,14,1,0,0,0,1,0,0,0,13.0,115.4,96.2,67.6,,,,,,,,,,,2026-02-23T09:17:05Z
2026,App State Mountaineers,27,1,0,1,0,0,0,0,0,15.0,126.6,105.3,70.3,,,,,,,,,,,2026-02-23T09:17:05Z
2050,Ball State Cardinals,14,0,1,0,1,0,0,0,0,-13.0,98.5,118.3,66.0,,,,,,,,,,,2026-02-23T09:17:05Z
2066,Binghamton Bearcats,1,0,1,0,0,0,1,0,0,-13.0,120.0,139.7,65.8,,,,,,,,,,,2026-02-23T09:17:05Z
2086,Butler Bulldogs,4,1,0,1,0,0,0,0,0,5.0,118.5,111.1,67.5,,,,,,,,,,,2026-02-23T09:17:05Z
2099,Canisius Golden Griffins,13,1,0,0,0,1,0,0,0,6.0,108.0,99.0,66.7,,,,,,,,,,,2026-02-23T09:17:05Z
2110,Central Arkansas Bears,46,0,1,0,0,0,1,0,0,-4.0,101.5,107.3,69.9,,,,,,,,,,,2026-02-23T09:17:05Z
2115,Central Connecticut Blue Devils,19,0,1,0,0,0,1,0,0,-19.0,82.8,113.6,61.6,,,,,,,,,,,2026-02-23T09:17:05Z
2130,Chicago State Cougars,19,1,0,1,0,0,0,0,0,19.0,114.2,83.2,61.3,,,,,,,,,,,2026-02-23T09:17:05Z
2132,Cincinnati Bearcats,8,1,0,0,0,1,0,0,0,16.0,126.1,102.1,66.6,,,,,,,,,,,2026-02-23T09:17:05Z
2166,Davidson Wildcats,3,0,1,0,0,0,1,0,0,-4.0,98.3,104.9,60.0,,,,,,,,,,,2026-02-23T09:17:05Z
