model_name,n_games,spread_mae,spread_rmse,spread_bias,spread_r2,n_ats_games,ats_correct,ats_pct,n_ou_games,ou_correct,ou_pct,win_correct,win_pct,brier_score,n_edge_games,edge_ats_pct,edge_roi_sim,conf_ats_corr,run_hash,created_at,pipeline_run_id
FourFactors,4046,11.758030153237767,15.158345258268072,4.223803756796836,0.0036459459013609,0,0,0.0,0,0,0.0,2136,52.8,0.2498,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
AdjEfficiency,4046,18.11041028175976,23.3959574977554,4.359006426099852,0.0600310818661166,0,0,0.0,0,0,0.0,2324,57.4,0.3247,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
Pythagorean,4046,16.898734552644587,21.41485187482192,4.371695501730104,0.0651255632532521,0,0,0.0,0,0,0.0,2332,57.6,0.3158,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
Situational,4046,15.669948096885811,20.21963286788148,4.359710825506673,0.0684134301346203,0,0,0.0,0,0,0.0,2360,58.3,0.3057,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
CAGERankings,4046,14.828855659911024,19.120873122115828,4.322983193277311,0.0592459467135099,0,0,0.0,0,0,0.0,2324,57.4,0.3018,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
LuckRegression,4046,13.252172516065247,16.900564389777937,4.273299555116164,0.0601348646353007,0,0,0.0,0,0,0.0,2333,57.7,0.2861,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
Variance,4046,11.994792387543251,15.481067298827478,4.269508156203658,0.0598629989227446,0,0,0.0,0,0,0.0,2324,57.4,0.2635,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
HomeAwayForm,4046,19.1811789421651,24.787206097792744,4.370185368264953,0.0600317798831924,0,0,0.0,0,0,0.0,2324,57.4,0.3301,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
Ensemble,4046,14.182862086010877,18.208890593233253,4.318774097874443,0.0648033120498447,0,0,0.0,0,0,0.0,2354,58.2,0.2954,0,0.0,0.0,0.0,e665131814fd23a85fc7adc645aa5828,2026-03-04T20:31:51.755453+00:00,20260304_203118
FourFactors,4046,11.758030153237767,15.158345258268072,4.223803756796836,0.0036459459013609,0,0,0.0,0,0,0.0,2136,52.8,0.2498,0,0.0,0.0,0.0,57c93d1800c1a836980463371ef9990b,2026-03-04T20:32:54.036056+00:00,
