game_date,away_team,home_team,vegas_spread,vegas_pred_win,model_predicted_margin,spread_edge,model_pick,spread_conf,spread_prob,vegas_total,model_predicted_total,total_edge,total_pick,total_conf,total_prob,netrtg_trend_home,netrtg_trend_away,key_signal,trend_flag,total_key_signal,cage_edge_bucket,cage_em_diff,cage_validates,kelly_units,is_elite_spot
2026-03-10,Detroit Mercy Titans,Robert Morris Colonials,-4.5,Robert Morris Colonials,15.2,10.7,Robert Morris Colonials -4.5,HIGH,1.0,146.5,139.4,-7.1,UNDER 146.5,HIGH,0.397,7.99,2.6,Robert Morris Colonials trending up (+8.0 net rtg/game) vs Detroit Mercy Titans (+2.6),"Both trending up - Robert Morris Colonials +8.0, Detroit Mercy Titans +2.6 net rtg/game",UNDER - Robert Morris Colonials scoring efficiency edge (+5.4 net rtg diff); model total 139.4 vs line 146.5,8.1+,15.7,CONFIRMS,0.0,False
2026-03-10,Santa Clara Broncos,Saint Mary's Gaels,-4.5,Saint Mary's Gaels,12.5,8.0,Saint Mary's Gaels -4.5,HIGH,0.932,148.5,149.8,1.3,PASS,LOW,0.506,6.33,-9.12,Saint Mary's Gaels trending up (+6.3 net rtg/game) vs Santa Clara Broncos (-9.1),Saint Mary's Gaels trending up (+6.3 net rtg/game); Santa Clara Broncos flat (-9.1),No strong total signal,8.1+,-11.4,DIVERGES,0.0,False
2026-03-10,Nicholls Colonels,UT Rio Grande Valley Vaqueros,-5.5,UT Rio Grande Valley Vaqueros,11.4,5.9,UT Rio Grande Valley Vaqueros -5.5,HIGH,1.0,143.5,137.7,-5.8,UNDER 143.5,HIGH,0.397,-7.2,1.18,Net rtg trend favors Nicholls Colonels (-8.4 diff),,UNDER - Nicholls Colonels scoring efficiency edge (-8.4 net rtg diff); model total 137.7 vs line 143.5,5.1–8 (CAGE dead zone),37.6,CONFIRMS,0.0,False
2026-03-10,Towson Tigers,Hofstra Pride,-4.5,Hofstra Pride,9.7,5.2,Hofstra Pride -4.5,HIGH,1.0,132.5,131.6,-0.9,PASS,PASS,0.397,6.93,-5.93,Hofstra Pride trending up (+6.9 net rtg/game) vs Towson Tigers (-5.9),Hofstra Pride trending up (+6.9 net rtg/game); Towson Tigers flat (-5.9),No strong total signal,5.1–8 (CAGE dead zone),2.8,NEUTRAL,0.0,False
2026-03-09,Campbell Fighting Camels,Monmouth Hawks,-1.5,Monmouth Hawks,5.5,4.0,Monmouth Hawks -1.5,HIGH,0.932,151.5,142.7,-8.8,UNDER 151.5,HIGH,0.397,4.36,-0.68,Monmouth Hawks trending up (+4.4 net rtg/game) vs Campbell Fighting Camels (-0.7),Monmouth Hawks trending up (+4.4 net rtg/game); Campbell Fighting Camels flat (-0.7),UNDER - Monmouth Hawks scoring efficiency edge (+5.0 net rtg diff); model total 142.7 vs line 151.5,3.1–5,-19.3,DIVERGES,0.0,False
2026-03-09,Northern Colorado Bears,Montana Grizzlies,4.5,Northern Colorado Bears,-1.0,3.5,Montana Grizzlies +4.5,MED,0.562,152.5,142.3,-10.2,UNDER 152.5,HIGH,0.397,-3.33,1.39,Net rtg trend favors Northern Colorado Bears (-4.7 diff),,UNDER - Northern Colorado Bears scoring efficiency edge (-4.7 net rtg diff); model total 142.3 vs line 152.5,3.1–5,-84.2,DIVERGES,0.0,False
2026-03-09,Furman Paladins,East Tennessee State Buccaneers,-1.5,East Tennessee State Buccaneers,5.0,3.5,East Tennessee State Buccaneers -1.5,MED,0.833,138.5,146.0,7.5,OVER 138.5,HIGH,0.404,-3.17,-0.27,Net rtg trend favors Furman Paladins (-2.9 diff),,OVER - Furman Paladins scoring efficiency edge (-2.9 net rtg diff); model total 146.0 vs line 138.5,3.1–5,20.8,CONFIRMS,0.0,False
2026-03-10,Weber State Wildcats,Eastern Washington Eagles,-3.5,Eastern Washington Eagles,6.6,3.1,Eastern Washington Eagles -3.5,MED,0.932,154.5,148.0,-6.5,UNDER 154.5,HIGH,0.397,10.22,11.64,Eastern Washington Eagles trending up (+10.2 net rtg/game) vs Weber State Wildcats (+11.6),"Both trending up - Eastern Washington Eagles +10.2, Weber State Wildcats +11.6 net rtg/game",UNDER - Weber State Wildcats scoring efficiency edge (-1.4 net rtg diff); model total 148.0 vs line 154.5,3.1–5,16.4,CONFIRMS,0.0,False
2026-03-09,Northern Kentucky Norse,Wright State Raiders,-1.5,Wright State Raiders,4.6,3.1,Wright State Raiders -1.5,MED,0.833,158.5,157.6,-0.9,PASS,PASS,0.506,-2.22,8.02,Net rtg trend favors Northern Kentucky Norse (-10.2 diff),Northern Kentucky Norse trending up (+8.0 net rtg/game); Wright State Raiders flat (-2.2),No strong total signal,3.1–5,8.8,CONFIRMS,0.0,False
2026-03-09,New Orleans Privateers,Texas A&M-Corpus Christi Islanders,-1.5,Texas A&M-Corpus Christi Islanders,-0.6,-2.1,New Orleans Privateers +1.5,MED,0.763,143.5,154.3,10.8,OVER 143.5,HIGH,0.404,-0.84,3.61,Net rtg trend favors New Orleans Privateers (-4.5 diff),New Orleans Privateers trending up (+3.6 net rtg/game); Texas A&M-Corpus Christi Islanders flat (-0.8),OVER - New Orleans Privateers scoring efficiency edge (-4.5 net rtg diff); model total 154.3 vs line 143.5,0–3,21.0,DIVERGES,0.0,False
2026-03-09,Georgia Southern Eagles,Troy Trojans,-5.5,Troy Trojans,6.0,0.5,PASS,PASS,0.833,152.5,146.3,-6.2,UNDER 152.5,HIGH,0.404,2.46,1.65,Troy Trojans trending up (+2.5 net rtg/game) vs Georgia Southern Eagles (+1.6),"Both trending up - Troy Trojans +2.5, Georgia Southern Eagles +1.6 net rtg/game",UNDER - Troy Trojans scoring efficiency edge (+0.8 net rtg diff); model total 146.3 vs line 152.5,0–3,10.2,CONFIRMS,0.0,False
2026-03-10,Mississippi Valley State Delta Devils,Grambling Tigers,-13.5,Grambling Tigers,13.6,0.1,PASS,PASS,1.0,135.5,150.6,15.1,OVER 135.5,LOW,0.506,-5.6,0.03,Net rtg trend favors Mississippi Valley State Delta Devils (-5.6 diff),,OVER - Mississippi Valley State Delta Devils scoring efficiency edge (-5.6 net rtg diff); model total 150.6 vs line 135.5,0–3,-17.2,DIVERGES,0.0,False
2026-03-10,Oregon State Beavers,Gonzaga Bulldogs,-20.5,Gonzaga Bulldogs,20.1,-0.4,PASS,PASS,1.0,145.5,150.3,4.8,OVER 145.5,LOW,0.506,8.35,8.76,Oregon State Beavers road dog edge - PEI +0.1,"Both trending up - Gonzaga Bulldogs +8.3, Oregon State Beavers +8.8 net rtg/game",OVER - model projects 150.3 (+4.8 vs 145.5 line),0–3,18.9,DIVERGES,0.0,False
