game_date,game_time_et,away_team,home_team,vegas_spread,trend_pick,trend_team_pick,trend_conf,active_trends,multi_trend,trend_hit_pct,trend_hit_detail,model_baseline_hit_pct,model_flag_hit_pct,model_flag_uplift,tourn_seed_signal,tourn_r1_profile,netrtg_trend_home,netrtg_trend_away,vs_model,model_pick,spread_conf,spread_edge,cage_em_diff,cage_validates
2026-03-10,,Towson Tigers,Hofstra Pride,-4.5,Hofstra Pride -4.5,Hofstra Pride (+6.9/game) — Towson Tigers fading (-5.9/game),STRONG,HOME_UP + AWAY_DOWN,True,57.1%,HOME_UP+AWAY_DOWN: 57.1% (n=63) | HOME_UP: 52.8% (n=163) | AWAY_DOWN: 56.9% (n=174),,,,,,6.93,-5.93,AGREES,Hofstra Pride -4.5,HIGH,6.8,-0.6,NEUTRAL
2026-03-10,,Santa Clara Broncos,Saint Mary's Gaels,-4.5,Saint Mary's Gaels -4.5,Saint Mary's Gaels (+6.3/game) — Santa Clara Broncos fading (-9.1/game),STRONG,HOME_UP + AWAY_DOWN,True,57.1%,HOME_UP+AWAY_DOWN: 57.1% (n=63) | HOME_UP: 52.8% (n=163) | AWAY_DOWN: 56.9% (n=174),,,,,,6.33,-9.12,AGREES,Saint Mary's Gaels -4.5,HIGH,6.3,1.1,NEUTRAL
2026-03-10,,Detroit Mercy Titans,Robert Morris Colonials,-4.5,Robert Morris Colonials -4.5,Robert Morris Colonials trending (+8.0/game),STRONG,HOME_UP + AWAY_UP,True,52.8%,HOME_UP: 52.8% (n=163) | AWAY_UP: 46.4% (n=151),,,,,,7.99,2.6,AGREES,Robert Morris Colonials -4.5,HIGH,9.4,15.7,CONFIRMS
2026-03-10,,Weber State Wildcats,Eastern Washington Eagles,-3.5,Weber State Wildcats +3.5,Weber State Wildcats trending (+11.6/game),STRONG,HOME_UP + AWAY_UP,True,52.8%,HOME_UP: 52.8% (n=163) | AWAY_UP: 46.4% (n=151),,,,,,10.22,11.64,AGREES,Eastern Washington Eagles -3.5,HIGH,5.4,16.4,DIVERGES
2026-03-10,,Oregon State Beavers,Gonzaga Bulldogs,-20.5,Oregon State Beavers +20.5,Oregon State Beavers trending (+8.8/game),STRONG,HOME_UP + AWAY_UP,True,52.8%,HOME_UP: 52.8% (n=163) | AWAY_UP: 46.4% (n=151),,,,,,8.35,8.76,NO_MODEL_PICK,,LOW,-1.2,-12.7,CONFIRMS
2026-03-09,,Georgia Southern Eagles,Troy Trojans,-5.5,Troy Trojans -5.5,Troy Trojans trending (+2.5/game),STRONG,HOME_UP + AWAY_UP,True,52.8%,HOME_UP: 52.8% (n=163) | AWAY_UP: 46.4% (n=151),,,,,,2.46,1.65,NO_MODEL_PICK,,PASS,0.3,67.5,CONFIRMS
2026-03-09,,Northern Kentucky Norse,Wright State Raiders,-1.5,Northern Kentucky Norse +1.5,Northern Kentucky Norse (+8.0/game) — Wright State Raiders fading (-2.2/game),STRONG,AWAY_UP + HOME_DOWN,True,46.4%,AWAY_UP+HOME_DOWN: 43.1% (n=58) | AWAY_UP: 46.4% (n=151) | HOME_DOWN: 41.9% (n=160),,,,,,-2.22,8.02,DISAGREES,Wright State Raiders -1.5,MED,3.8,16.4,DIVERGES
2026-03-09,,Campbell Fighting Camels,Monmouth Hawks,-1.5,Monmouth Hawks -1.5,Monmouth Hawks trending (+4.4/game),ALIGNED,HOME_UP,False,52.8%,HOME_UP: 52.8% (n=163),,,,,,4.36,-0.68,AGREES,Monmouth Hawks -1.5,HIGH,5.8,21.7,CONFIRMS
2026-03-09,,New Orleans Privateers,Texas A&M-Corpus Christi Islanders,-1.5,New Orleans Privateers +1.5,New Orleans Privateers trending (+3.6/game),ALIGNED,AWAY_UP,False,46.4%,AWAY_UP: 46.4% (n=151),,,,,,-0.84,3.61,NO_MODEL_PICK,,LOW,-1.4,15.9,DIVERGES
2026-03-10,,Nicholls Colonels,UT Rio Grande Valley Vaqueros,-5.5,Nicholls Colonels +5.5,Nicholls Colonels — fading opponent UT Rio Grande Valley Vaqueros (-7.2/game),ALIGNED,HOME_DOWN,False,41.9%,HOME_DOWN: 41.9% (n=160),,,,,,-7.2,1.18,DISAGREES,UT Rio Grande Valley Vaqueros -5.5,HIGH,8.1,-5.4,CONFIRMS
2026-03-09,,Furman Paladins,East Tennessee State Buccaneers,-1.5,Furman Paladins +1.5,Furman Paladins — fading opponent East Tennessee State Buccaneers (-3.2/game),ALIGNED,HOME_DOWN,False,41.9%,HOME_DOWN: 41.9% (n=160),,,,,,-3.17,-0.27,DISAGREES,East Tennessee State Buccaneers -1.5,MED,3.2,-43.1,CONFIRMS
2026-03-09,,Northern Colorado Bears,Montana Grizzlies,4.5,Northern Colorado Bears -4.5,Northern Colorado Bears — fading opponent Montana Grizzlies (-3.3/game),ALIGNED,HOME_DOWN,False,41.9%,HOME_DOWN: 41.9% (n=160),,,,,,-3.33,1.39,DISAGREES,Montana Grizzlies +4.5,LOW,4.6,69.7,DIVERGES
2026-03-10,,Mississippi Valley State Delta Devils,Grambling Tigers,-13.5,Mississippi Valley State Delta Devils +13.5,Mississippi Valley State Delta Devils — fading opponent Grambling Tigers (-5.6/game),ALIGNED,HOME_DOWN,False,41.9%,HOME_DOWN: 41.9% (n=160),,,,,,-5.6,0.03,NO_MODEL_PICK,,PASS,0.5,-17.2,CONFIRMS
