rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at
1,Tulsa Golden Hurricane,202,Atlantic Coast Conference,1,0-0,0-0,0-0,37.2,142.9,105.7,70.0,0.9698,,0.97,0.0,0.0,-103.0,,,,,,,,68.1,A+,50.0,40.1,0.0,0.0,100.0,43.9,54.8,0.0,100.0,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,63.5,,10.0,27.5,72.5,39.7,46.0,41.4,80.0,,,,2026-02-24 02:53 PST
2,Mount St. Mary's Mountaineers,116,Metro Atlantic Athletic Conference,1,0-0,0-0,0-0,33.3,107.7,74.4,63.2,0.986,,0.986,0.0,0.0,-103.0,,,,,,,,87.5,A+,50.0,74.2,0.0,0.0,100.0,23.6,43.9,0.0,41.8,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,51.8,,20.6,31.4,68.6,25.5,40.0,31.8,78.6,,,,2026-02-24 02:53 PST
3,Grambling Tigers,2755,Southwestern Athletic Conference,1,0-0,0-0,0-0,26.7,105.5,78.8,78.6,0.9663,,0.966,0.0,0.0,-103.0,,,,,,,,100.0,A+,50.0,100.0,0.0,0.0,100.0,72.2,65.5,0.0,65.5,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,58.7,,25.4,18.4,81.6,59.6,25.0,38.5,71.0,,,,2026-02-24 02:53 PST
4,American University Eagles,44,22,1,0-0,0-0,0-0,23.4,125.3,101.9,59.8,0.9151,,0.915,0.0,0.0,-103.0,,,,,,,,70.3,A,50.0,51.6,0.0,0.0,100.0,15.8,47.4,0.0,78.6,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,60.9,,11.7,22.6,77.4,20.0,47.3,50.0,72.7,,,,2026-02-24 02:53 PST
5,Kansas Jayhawks,2305,Southeastern Conference,1,0-0,0-0,0-0,20.4,108.2,87.8,63.8,0.917,,0.917,0.0,0.0,-103.0,,,,,,,,85.7,A,50.0,79.9,0.0,0.0,100.0,44.3,52.0,0.0,53.2,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,51.0,,18.8,18.4,81.6,40.0,34.0,41.2,90.0,,,,2026-02-24 02:53 PST
6,Wisconsin Badgers,275,Pac-12,1,0-0,0-0,0-0,20.4,131.7,111.3,63.8,0.8738,,0.874,0.0,0.0,-103.0,,,,,,,,69.9,A,50.0,56.4,0.0,0.0,100.0,42.2,57.1,0.0,93.3,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,63.5,,12.5,17.2,82.8,38.5,46.2,41.7,90.0,,,,2026-02-24 02:53 PST
7,Robert Morris Colonials,2523,Horizon League,1,0-0,0-0,0-0,19.5,121.8,102.3,66.5,0.8815,,0.882,0.0,0.0,-103.0,,,,,,,,73.9,A,50.0,62.8,0.0,0.0,100.0,31.3,51.4,0.0,73.6,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,59.1,,15.0,20.0,80.0,30.9,29.1,43.8,94.1,,,,2026-02-24 02:53 PST
8,Oakland Golden Grizzlies,2473,Horizon League,2,0-0,0-0,0-0,17.0,125.0,108.0,64.8,0.843,,0.843,0.0,0.0,-103.0,,,,,,,,62.2,A-,50.0,46.1,0.0,0.0,100.0,38.2,50.4,0.0,82.5,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,60.7,,13.9,30.0,70.0,35.7,35.7,50.0,65.0,,,,2026-02-24 02:53 PST
9,UAB Blazers,5,Atlantic Coast Conference,2,0-0,0-0,0-0,15.5,109.9,94.4,71.0,0.8517,,0.852,0.0,0.0,-103.0,,,,,,,,68.2,A-,50.0,56.1,0.0,0.0,100.0,47.7,47.5,0.0,58.8,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,50.8,,16.9,32.4,67.6,42.4,32.2,31.6,72.0,,,,2026-02-24 02:53 PST
10,Siena Saints,2561,Metro Atlantic Athletic Conference,2,0-0,0-0,0-0,15.0,120.1,105.1,60.0,0.8226,,0.823,0.0,0.0,-103.0,,,,,,,,69.5,A-,50.0,62.5,0.0,0.0,100.0,100.0,63.0,0.0,78.5,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,51.2,,18.3,26.5,73.5,79.1,14.0,33.3,82.4,,,,2026-02-24 02:53 PST
