conference,barthag_mean,barthag_max,cage_power_index_mean,resume_score_mean,team_count,conference_name
Western Athletic Conference,0.4522,0.9076,59.32857142857143,57.25714285714286,7,Western Athletic Conference
Mid-Eastern Athletic Conference,0.420375,0.9731,52.5,28.0,8,Mid-Eastern Athletic Conference
Missouri Valley Conference,0.4187363636363637,0.9916,55.945454545454545,54.63636363636363,11,Missouri Valley Conference
Ohio Valley Conference,0.4043636363636364,0.9679,56.72727272727273,50.64545454545455,11,Ohio Valley Conference
Northeast Conference,0.3961,0.9079,53.260000000000005,39.08,10,Northeast Conference
Big Sky Conference,0.39274,0.8736,55.32000000000001,53.010000000000005,10,Big Sky Conference
American Athletic Conference,0.38709230769230774,0.9895,55.65384615384615,54.70769230769231,13,American Athletic Conference
Big West Conference,0.3824090909090909,0.7193,55.790909090909096,51.21818181818182,11,Big West Conference
Metro Atlantic Athletic Conference,0.36287692307692304,0.9479,53.52307692307692,44.54615384615385,13,Metro Atlantic Athletic Conference
Conference USA,0.36119166666666663,0.9646,53.708333333333336,54.13333333333333,12,Conference USA
Sun Belt Conference,0.34372142857142857,0.9689,51.642857142857146,47.364285714285714,14,Sun Belt Conference
Colonial Athletic Association,0.3243230769230769,0.8774,52.80769230769231,55.0923076923077,13,Colonial Athletic Association
Big South Conference,0.3167666666666667,0.8242,49.8,49.74444444444444,9,Big South Conference
Patriot League,0.31632,0.9621,50.480000000000004,43.88,10,Patriot League
West Coast Conference,0.31459166666666666,0.9969,50.55833333333334,55.875,12,West Coast Conference
Summit League,0.31198888888888887,0.8515,46.77777777777778,46.288888888888884,9,Summit League
Big East,0.29673636363636363,0.9918,51.26363636363636,60.51818181818182,11,Big East
Big 12,0.2955125,0.8672,51.39375,67.2625,16,Big 12
America East Conference,0.2935666666666667,0.8224,48.81111111111111,32.97777777777778,9,America East Conference
Southwestern Athletic Conference,0.28868333333333335,0.6953,48.275,31.7,12,Southwestern Athletic Conference
Mountain West,0.26745,0.5544,49.28333333333333,55.76666666666667,12,Mountain West
Atlantic Coast Conference,0.26662777777777774,0.9938,48.95,65.28333333333333,18,Atlantic Coast Conference
Mid-American Conference,0.26158461538461536,0.8388,46.25384615384615,51.861538461538466,13,Mid-American Conference
Southland Conference,0.2614666666666667,0.6075,50.56666666666666,49.38333333333333,12,Southland Conference
Atlantic 10,0.2527357142857143,0.8906,48.292857142857144,60.371428571428574,14,Atlantic 10
Southern Conference,0.2464,0.9307,47.43,54.239999999999995,10,Southern Conference
Ivy League,0.24532500000000002,0.9563,48.8875,57.9875,8,Ivy League
Big Ten,0.23900000000000002,0.8463,46.31666666666667,60.02777777777778,18,Big Ten
Southeastern Conference,0.19950625,0.8567,44.2875,67.24375,16,Southeastern Conference
Horizon League,0.18147272727272726,0.5997,45.26363636363636,55.17272727272727,11,Horizon League
ASUN Conference,0.18116666666666667,0.4719,42.09166666666667,43.833333333333336,12,ASUN Conference
