model_a,model_b,agreement_rate,disagreement_games,model_a_wins_when_split,model_b_wins_when_split,better_model_when_split,generated_at
M1,M2,1.0,0,,,,2026-03-09T15:39:37Z
M1,M3,0.9921,2,,,,2026-03-09T15:39:37Z
M1,M4,1.0,0,,,,2026-03-09T15:39:37Z
M1,M5,1.0,0,,,,2026-03-09T15:39:37Z
M1,M6,1.0,0,,,,2026-03-09T15:39:37Z
M1,M7,1.0,0,,,,2026-03-09T15:39:37Z
M2,M3,0.9921,2,,,,2026-03-09T15:39:37Z
M2,M4,1.0,0,,,,2026-03-09T15:39:37Z
M2,M5,1.0,0,,,,2026-03-09T15:39:37Z
M2,M6,1.0,0,,,,2026-03-09T15:39:37Z
M2,M7,1.0,0,,,,2026-03-09T15:39:37Z
M3,M4,0.9921,2,,,,2026-03-09T15:39:37Z
M3,M5,0.9921,2,,,,2026-03-09T15:39:37Z
M3,M6,0.9921,2,,,,2026-03-09T15:39:37Z
M3,M7,0.9921,2,,,,2026-03-09T15:39:37Z
M4,M5,1.0,0,,,,2026-03-09T15:39:37Z
M4,M6,1.0,0,,,,2026-03-09T15:39:37Z
M4,M7,1.0,0,,,,2026-03-09T15:39:37Z
M5,M6,1.0,0,,,,2026-03-09T15:39:37Z
M5,M7,1.0,0,,,,2026-03-09T15:39:37Z
M6,M7,1.0,0,,,,2026-03-09T15:39:37Z
