rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at
1,Sam Houston Bearkats,2534,11,1,0-0,0-0,0-0,120.2,432.7,312.5,8.3,0.9769,,0.977,0.0,0.0,-103.0,,,,,,,,75.3,A+,50.0,44.9,0.0,0.0,100.0,55.0,57.8,0.0,100.0,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,83.3,,12.0,0.0,100.0,50.0,50.0,66.7,100.0,,,,2026-02-21 13:23 PST
2,High Point Panthers,2272,6,1,0-0,0-0,0-0,110.6,161.6,51.0,11.8,1.0,,1.0,0.0,0.0,-103.0,,,,,,,,71.1,A+,50.0,32.2,0.0,0.0,100.0,31.5,44.4,0.0,78.8,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,57.1,,0.0,40.0,60.0,28.6,57.1,25.0,75.0,,,,2026-02-21 13:23 PST
3,James Madison Dukes,256,27,1,0-0,0-0,0-0,109.1,167.2,58.1,13.8,1.0,,1.0,0.0,0.0,-103.0,,,,,,,,73.9,A+,50.0,38.5,0.0,0.0,100.0,31.5,50.9,0.0,94.8,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,71.4,,0.0,28.6,71.4,28.6,14.3,0.0,75.0,,,,2026-02-21 13:23 PST
4,Evansville Purple Aces,339,18,1,0-0,0-0,0-0,80.0,173.3,93.3,15.0,0.9992,,0.999,0.0,0.0,-103.0,,,,,,,,80.5,A+,50.0,53.7,0.0,0.0,100.0,0.0,49.1,0.0,90.2,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,86.7,,6.7,12.5,87.5,0.0,60.0,66.7,,,,,2026-02-21 13:23 PST
5,Boise State Broncos,68,44,1,0-0,0-0,0-0,63.5,120.6,57.1,15.8,0.9997,,1.0,0.0,0.0,-103.0,,,,,,,,86.2,A+,50.0,66.7,0.0,0.0,100.0,33.9,50.7,0.0,66.6,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,61.5,,12.7,11.1,88.9,30.8,38.5,40.0,75.0,,,,2026-02-21 13:23 PST
6,North Dakota State Bison,2449,49,1,0-0,0-0,0-0,47.6,125.6,78.0,75.6,0.9958,,0.996,0.0,0.0,-103.0,,,,,,,,83.4,A+,50.0,60.9,0.0,0.0,100.0,8.8,39.1,0.0,45.9,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,60.7,,19.8,32.7,67.3,8.0,52.0,43.6,66.7,,,,2026-02-21 13:23 PST
7,Georgia Bulldogs,61,23,1,0-0,0-0,0-0,47.2,148.4,101.2,29.6,0.9879,,0.988,0.0,0.0,-103.0,,,,,,,,78.3,A+,50.0,50.3,0.0,0.0,100.0,24.4,49.8,0.0,83.4,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,72.2,,6.7,16.7,83.3,22.2,37.0,70.0,83.3,,,,2026-02-21 13:23 PST
8,Howard Bison,47,16,1,0-0,0-0,0-0,46.6,141.2,94.6,70.8,0.9901,,0.99,0.0,0.0,-103.0,,,,,,,,81.0,A+,50.0,56.2,0.0,0.0,100.0,36.1,48.7,0.0,68.4,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,69.7,,18.4,34.3,65.7,32.8,36.1,50.0,75.0,,,,2026-02-21 13:23 PST
9,Purdue Boilermakers,2509,7,1,0-0,0-0,0-0,46.0,147.6,101.6,63.0,0.9865,,0.987,0.0,0.0,-103.0,,,,,,,,79.9,A+,50.0,54.2,0.0,0.0,100.0,53.9,57.6,0.0,91.0,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,74.5,,11.1,20.0,80.0,49.0,35.3,55.6,68.0,,,,2026-02-21 13:23 PST
10,Tennessee State Tigers,2634,20,1,0-0,0-0,0-0,43.1,127.6,84.5,62.7,0.9913,,0.991,0.0,0.0,-103.0,,,,,,,,84.7,A+,50.0,64.4,0.0,0.0,100.0,26.5,46.5,0.0,58.3,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,64.8,,19.1,24.3,75.7,24.1,35.2,42.1,76.9,,,,2026-02-21 13:23 PST
