conference,barthag_mean,barthag_max,cage_power_index_mean,resume_score_mean,team_count,conference_name
Big East,0.5174,0.7716,51.6,50.0,10,Big East
Atlantic 10,0.5088125,0.9711,50.975,50.0,8,Atlantic 10
Southland Conference,0.5004000000000001,0.7554,50.35833333333333,50.0,12,Southland Conference
Mid-American Conference,0.5003833333333333,1.0,50.35,50.0,12,Mid-American Conference
Big Ten,0.5001466666666666,0.9906,49.22666666666667,50.0,15,Big Ten
Horizon League,0.500109090909091,0.8815,57.190909090909095,50.0,11,Horizon League
Patriot League,0.50007,0.9151,50.68,50.0,10,Patriot League
Colonial Athletic Association,0.50005,0.7427,48.25,50.0,2,Colonial Athletic Association
American Athletic Conference,0.5000363636363636,0.9698,51.4,50.0,11,American Athletic Conference
Big 12,0.5000125,1.0,50.30625,50.0,16,Big 12
Metro Atlantic Athletic Conference,0.5000083333333333,0.986,52.775,50.0,12,Metro Atlantic Athletic Conference
ASUN Conference,0.5,0.5,50.3,50.0,8,ASUN Conference
Summit League,0.5,0.5,50.3,50.0,2,Summit League
Mountain West,0.5,0.5,50.29999999999999,50.0,12,Mountain West
Missouri Valley Conference,0.5,0.5,50.3,50.0,10,Missouri Valley Conference
Mid-Eastern Athletic Conference,0.5,0.5,50.3,50.0,2,Mid-Eastern Athletic Conference
West Coast Conference,0.5,0.5,50.3,50.0,10,West Coast Conference
Ohio Valley Conference,0.5,0.5,50.3,50.0,2,Ohio Valley Conference
Southeastern Conference,0.5,0.9906,50.3,50.0,16,Southeastern Conference
Southern Conference,0.5,0.5,50.29999999999999,50.0,6,Southern Conference
Sun Belt Conference,0.5,1.0,50.300000000000004,50.0,12,Sun Belt Conference
Southwestern Athletic Conference,0.49995,0.9663,50.3,50.0,2,Southwestern Athletic Conference
Atlantic Coast Conference,0.4998571428571429,1.0,50.292857142857144,50.0,14,Atlantic Coast Conference
Northeast Conference,0.49974999999999997,0.9208,50.3,50.0,2,Northeast Conference
