as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,,Alaska Anchorage Seawolves,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southeastern Conference,Auburn Tigers,0,0,0,14,14,0.5,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,American Athletic Conference,UAB Blazers,0,0,0,17,10,0.63,0,2026-03-04T22:22:32Z,American Athletic Conference,22692149656
20260304,Sun Belt Conference,South Alabama Jaguars,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Sun Belt Conference,22692149656
20260304,Southeastern Conference,Arkansas Razorbacks,0,0,0,20,7,0.741,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,Big 12,Arizona State Sun Devils,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Big 12,22692149656
20260304,Big 12,Arizona Wildcats,0,0,0,26,2,0.929,0,2026-03-04T22:22:32Z,Big 12,22692149656
20260304,Big West Conference,Cal Poly Mustangs,0,0,0,11,16,0.407,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,Big Sky Conference,Sacramento State Hornets,0,0,0,8,20,0.286,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,Mountain West,San Diego State Aztecs,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,,San Francisco State Gators,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Mountain West,San José State Spartans,0,0,0,8,20,0.286,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,Atlantic Coast Conference,Stanford Cardinal,0,0,0,16,11,0.593,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Atlantic Coast Conference,California Golden Bears,0,0,0,18,9,0.667,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Big Ten,UCLA Bruins,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,Big West Conference,UC Riverside Highlanders,0,0,0,8,21,0.276,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,Big West Conference,UC San Diego Tritons,0,0,0,19,9,0.679,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,,Redlands Bulldogs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big Ten,USC Trojans,0,0,0,17,11,0.607,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,Mountain West,Colorado State Rams,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,Big 12,Colorado Buffaloes,0,0,0,15,13,0.536,0,2026-03-04T22:22:32Z,Big 12,22692149656
20260304,Big East,UConn Huskies,0,0,0,25,3,0.893,0,2026-03-04T22:22:32Z,Big East,22692149656
20260304,Ivy League,Yale Bulldogs,0,0,0,21,5,0.808,0,2026-03-04T22:22:32Z,Ivy League,22692149656
20260304,Patriot League,American University Eagles,0,0,0,16,14,0.533,0,2026-03-04T22:22:32Z,Patriot League,22692149656
20260304,Atlantic 10,George Washington Revolutionaries,0,0,0,14,13,0.519,0,2026-03-04T22:22:32Z,Atlantic 10,22692149656
20260304,Big East,Georgetown Hoyas,0,0,0,11,17,0.393,0,2026-03-04T22:22:32Z,Big East,22692149656
20260304,Mid-Eastern Athletic Conference,Howard Bison,0,0,0,19,9,0.679,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
20260304,Conference USA,Delaware Blue Hens,0,0,0,9,18,0.333,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,Southwestern Athletic Conference,Florida A&M Rattlers,0,0,0,13,13,0.5,0,2026-03-04T22:22:32Z,Southwestern Athletic Conference,22692149656
