game_id,game_datetime_utc,game_date,home_team,away_team,spread_line,total_line,ens_spread,ens_spread,ens_total,ens_total,mc_home_win_pct,ens_spread_edge_pts,ens_total_edge_pts,home_last5_net,home_last10_net,away_last5_net,away_last10_net,generated_at,pipeline_run_id
401851485,2026-03-05T21:30:00Z,,Southern Illinois Salukis,Drake Bulldogs,,,-3.17,,133.4,,,,,6.78,8.14,-19.9,-15.55,2026-03-04T22:22:32Z,22692149656
401829290,2026-03-05T22:00:00Z,,North Carolina Central Eagles,South Carolina State Bulldogs,,,-7.65,,129.4,,,,,-6.42,-2.89,-6.32,-7.15,2026-03-04T22:22:32Z,22692149656
401851454,2026-03-05T23:00:00Z,,Iona Gaels,Sacred Heart Pioneers,,,-2.06,,140.5,,,,,8.08,4.05,4.24,-1.87,2026-03-04T22:22:32Z,22692149656
401851546,2026-03-06T00:00:00Z,,Lehigh Mountain Hawks,Holy Cross Crusaders,,,-3.6,,142.3,,,,,1.12,-0.65,-5.72,-5.08,2026-03-04T22:22:32Z,22692149656
401851545,2026-03-06T00:00:00Z,,Colgate Raiders,Loyola Maryland Greyhounds,,,-2.78,,142.5,,,,,-15.2,-1.54,-4.9,-2.17,2026-03-04T22:22:32Z,22692149656
401851544,2026-03-06T00:00:00Z,,Boston University Terriers,American University Eagles,,,-7.27,,146.6,,,,,18.16,12.31,11.44,1.53,2026-03-04T22:22:32Z,22692149656
401851543,2026-03-06T00:00:00Z,,Navy Midshipmen,Bucknell Bison,,,-22.29,,138.0,,,,,27.78,23.92,-7.74,-9.79,2026-03-04T22:22:32Z,22692149656
401851486,2026-03-06T00:00:00Z,,Valparaiso Beacons,Indiana State Sycamores,,,-8.01,,137.6,,,,,4.44,0.25,-9.92,-4.77,2026-03-04T22:22:32Z,22692149656
401828732,2026-03-06T00:00:00Z,,Norfolk State Spartans,Howard Bison,,,-1.98,,153.3,,,,,12.58,10.26,39.48,33.23,2026-03-04T22:22:32Z,22692149656
401828259,2026-03-06T00:00:00Z,,Temple Owls,Tulane Green Wave,,,-10.71,,133.4,,,,,-9.66,-4.74,-14.28,-9.42,2026-03-04T22:22:32Z,22692149656
401828257,2026-03-06T00:00:00Z,,East Carolina Pirates,Tulsa Golden Hurricane,,,3.17,,150.7,,,,,3.54,2.72,16.48,12.33,2026-03-04T22:22:32Z,22692149656
401823056,2026-03-06T00:00:00Z,,Maryland Eastern Shore Hawks,Delaware State Hornets,,,-14.41,,116.9,,,,,-8.5,-7.95,-23.44,-17.27,2026-03-04T22:22:32Z,22692149656
401804962,2026-03-06T00:00:00Z,,Florida International Panthers,Middle Tennessee Blue Raiders,,,-2.13,,146.4,,,,,-2.04,-2.4,4.22,-1.55,2026-03-04T22:22:32Z,22692149656
401804958,2026-03-06T00:00:00Z,,Liberty Flames,Louisiana Tech Bulldogs,,,-15.09,,136.3,,,,,-4.8,4.69,-4.72,-3.4,2026-03-04T22:22:32Z,22692149656
401804957,2026-03-06T00:00:00Z,,Delaware Blue Hens,Sam Houston Bearkats,,,4.48,,152.1,,,,,-6.52,-4.66,15.56,13.26,2026-03-04T22:22:32Z,22692149656
401827126,2026-03-06T00:30:00Z,,Florida A&M Rattlers,Bethune-Cookman Wildcats,,,-3.05,,143.2,,,,,10.58,-0.92,6.72,9.89,2026-03-04T22:22:32Z,22692149656
401825560,2026-03-06T01:00:00Z,,Iowa Hawkeyes,Michigan Wolverines,9.5,145.5,-3.51,,148.9,,,,,-4.48,2.44,18.46,21.81,2026-03-04T22:22:32Z,22692149656
401825561,2026-03-06T01:00:00Z,,Michigan State Spartans,Rutgers Scarlet Knights,-19.5,143.5,-14.71,,142.9,,,,,7.9,10.25,-0.14,-12.52,2026-03-04T22:22:32Z,22692149656
401828670,2026-03-06T01:00:00Z,,Jackson State Tigers,Mississippi Valley State Delta Devils,,,-6.96,,132.2,,,,,-12.38,-5.43,-8.64,-15.39,2026-03-04T22:22:32Z,22692149656
401827106,2026-03-06T01:00:00Z,,Alabama State Hornets,Grambling Tigers,,,-13.33,,135.8,,,,,1.6,1.19,-6.3,-4.34,2026-03-04T22:22:32Z,22692149656
401827082,2026-03-06T01:00:00Z,,Texas Southern Tigers,Prairie View A&M Panthers,,,-10.72,,153.0,,,,,13.9,10.27,12.4,2.28,2026-03-04T22:22:32Z,22692149656
401822780,2026-03-06T01:00:00Z,,Morgan State Bears,Coppin State Eagles,,,-14.38,,128.0,,,,,-0.74,2.54,-4.58,-8.1,2026-03-04T22:22:32Z,22692149656
401805212,2026-03-06T01:00:00Z,,Tarleton State Texans,UT Arlington Mavericks,,,-3.54,,129.5,,,,,-6.98,-10.05,-5.78,-4.27,2026-03-04T22:22:32Z,22692149656
401804961,2026-03-06T01:00:00Z,,Missouri State Bears,Western Kentucky Hilltoppers,,,1.72,,149.4,,,,,-6.98,-3.58,21.94,9.82,2026-03-04T22:22:32Z,22692149656
401851456,2026-03-06T01:30:00Z,,Fairfield Stags,Manhattan Jaspers,,,-3.96,,136.2,,,,,-0.66,1.03,-5.24,-3.44,2026-03-04T22:22:32Z,22692149656
401827038,2026-03-06T01:30:00Z,,Alabama A&M Bulldogs,Southern Jaguars,,,-8.42,,147.4,,,,,6.1,1.93,1.44,3.41,2026-03-04T22:22:32Z,22692149656
401805213,2026-03-06T01:30:00Z,,Southern Utah Thunderbirds,Utah Valley Wolverines,,,-13.26,,150.1,,,,,-1.72,-3.05,12.68,12.91,2026-03-04T22:22:32Z,22692149656
401851745,2026-03-06T02:00:00Z,,Portland Pilots,Pepperdine Waves,,,-0.93,,143.3,,,,,-18.44,-17.0,0.34,-11.21,2026-03-04T22:22:32Z,22692149656
401828260,2026-03-06T02:00:00Z,,Memphis Tigers,South Florida Bulls,,,2.83,,149.5,,,,,-22.16,-4.27,22.18,18.68,2026-03-04T22:22:32Z,22692149656
