game_id,game_datetime_utc,home_team,away_team,conference,pred_spread,spread_line,edge,edge_tier,pred_total,total_line,mc_cover_probability,mc_confidence_tier,mc_spread_range,mc_total_range,mc_home_win_pct,mc_away_win_pct,mc_upset_probability,mc_model_alignment,mc_high_variance,mc_edge_confirmed,mc_edge_contradicted,uws_alert,generated_at
401851485,2026-03-05T21:30:00Z,Southern Illinois Salukis,Drake Bulldogs,Missouri Valley Conference,-3.17,-4.5,0,-1.33,133.4,135.5,0.544,LOW,-11 to 7,118 to 147,0.566,0.434,0.434,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401829290,2026-03-05T22:00:00Z,North Carolina Central Eagles,South Carolina State Bulldogs,Mid-Eastern Athletic Conference,-7.65,-8.5,0,-0.35,129.4,145.5,0.526,LOW,-16 to 1,115 to 143,0.716,0.284,0.284,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401851698,2026-03-05T23:00:00Z,Southern Miss Golden Eagles,James Madison Dukes,Sun Belt Conference,-2.53,1.5,1,4.03,128.8,143.5,0.618,MEDIUM,-10 to 5,115 to 142,0.584,0.416,0.416,SPLIT,False,True,False,False,2026-03-05T06:53:39Z
401851454,2026-03-05T23:00:00Z,Iona Gaels,Sacred Heart Pioneers,Metro Atlantic Athletic Conference,-2.06,-2.5,0,-0.44,140.5,147.5,0.518,LOW,-8 to 6,129 to 153,0.566,0.434,0.434,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401851620,2026-03-06T00:00:00Z,North Dakota State Bison,Oral Roberts Golden Eagles,Summit League,-12.43,-8.5,1,3.93,145.4,146.5,0.616,MEDIUM,-22 to -4,129 to 160,0.846,0.154,0.154,LEAN,True,True,False,False,2026-03-05T06:53:39Z
401851546,2026-03-06T00:00:00Z,Lehigh Mountain Hawks,Holy Cross Crusaders,Patriot League,-3.6,-6.5,0,-2.4,142.3,141.5,0.58,MEDIUM,-12 to 4,130 to 155,0.628,0.372,0.372,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401851545,2026-03-06T00:00:00Z,Colgate Raiders,Loyola Maryland Greyhounds,Patriot League,-2.78,-6.5,1,-3.72,142.5,151.5,0.638,MEDIUM,-10 to 7,129 to 157,0.548,0.452,0.452,SPLIT,True,True,False,False,2026-03-05T06:53:39Z
401851544,2026-03-06T00:00:00Z,Boston University Terriers,American University Eagles,Patriot League,-7.27,-3.5,1,3.77,146.6,141.5,0.568,LOW,-14 to 1,133 to 160,0.704,0.296,0.296,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401851543,2026-03-06T00:00:00Z,Navy Midshipmen,Bucknell Bison,Patriot League,-22.29,-16.5,1,5.79,138.0,133.5,0.704,HIGH,-30 to -15,125 to 152,0.978,0.022,0.022,STRONG,False,True,False,False,2026-03-05T06:53:39Z
401851526,2026-03-06T00:00:00Z,UT Martin Skyhawks,Eastern Illinois Panthers,Ohio Valley Conference,-6.54,-6.5,0,0.04,112.8,123.5,0.498,LOW,-16 to 2,100 to 128,0.69,0.31,0.31,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401851486,2026-03-06T00:00:00Z,Valparaiso Beacons,Indiana State Sycamores,Missouri Valley Conference,-8.01,-2.5,1,5.51,137.6,136.5,0.68,HIGH,-16 to 0,124 to 150,0.77,0.23,0.23,LEAN,False,True,False,False,2026-03-05T06:53:39Z
401828732,2026-03-06T00:00:00Z,Norfolk State Spartans,Howard Bison,Mid-Eastern Athletic Conference,-1.98,5.5,1,7.98,153.3,145.5,0.742,ELITE,-11 to 5,138 to 168,0.602,0.398,0.398,SPLIT,False,True,False,False,2026-03-05T06:53:39Z
401828259,2026-03-06T00:00:00Z,Temple Owls,Tulane Green Wave,American Athletic Conference,-10.71,-4.5,1,6.71,133.4,144.5,0.696,HIGH,-20 to -3,119 to 147,0.81,0.19,0.19,LEAN,False,True,False,False,2026-03-05T06:53:39Z
401828257,2026-03-06T00:00:00Z,East Carolina Pirates,Tulsa Golden Hurricane,American Athletic Conference,3.17,8.5,1,5.33,150.7,156.5,0.644,MEDIUM,-4 to 11,137 to 164,0.358,0.642,0.358,SPLIT,False,True,False,False,2026-03-05T06:53:39Z
401823056,2026-03-06T00:00:00Z,Maryland Eastern Shore Hawks,Delaware State Hornets,Mid-Eastern Athletic Conference,-14.41,-6.5,1,8.41,116.9,126.5,0.73,ELITE,-22 to -6,105 to 130,0.89,0.11,0.11,LEAN,False,True,False,False,2026-03-05T06:53:39Z
401804962,2026-03-06T00:00:00Z,Florida International Panthers,Middle Tennessee Blue Raiders,Conference USA,-2.13,-2.5,0,-0.37,146.4,154.5,0.54,LOW,-9 to 6,135 to 160,0.544,0.456,0.456,SPLIT,False,False,False,False,2026-03-05T06:53:39Z
401804958,2026-03-06T00:00:00Z,Liberty Flames,Louisiana Tech Bulldogs,Conference USA,-15.09,-8.5,1,6.59,136.3,138.5,0.674,HIGH,-23 to -6,122 to 151,0.862,0.138,0.138,LEAN,False,True,False,False,2026-03-05T06:53:39Z
