entity_type,entity_id,severity,reason_codes,details,created_at,row_count,created_at_utc,target_path,pipeline_run_id
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_produces_csv_when_predict0/data/results_log.csv,2026-02-25T22:53:01.882791+00:00,3.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_matches_when_latest_conta0/data/results_log.csv,2026-02-25T22:53:02.120048+00:00,2.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_handles_missing_spread_co0/data/results_log.csv,2026-02-25T22:53:02.321093+00:00,1.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_loads_all_completed_games0/data/results_log.csv,2026-02-25T22:53:02.491084+00:00,2.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=data/results_log.csv,2026-02-25T22:53:33.450747+00:00,26.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread'],,,2026-02-25T22:53:33.455611+00:00,data/results_log.csv,
model_accuracy_report,game_not_final;missing_final_score,warning,game_not_final;missing_final_score,"{""count"": 15}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_final_score,warning,missing_final_score,"{""count"": 7}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 257}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread;game_not_final;missing_final_score,warning,missing_pred_spread;game_not_final;missing_final_score,"{""count"": 12}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread;missing_final_score,warning,missing_pred_spread;missing_final_score,"{""count"": 6}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
backtest_run,e665131814fd23a85fc7adc645aa5828,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 4046, ""n_market_games"": 0}",2026-03-04T20:31:51.761332+00:00,,,,20260304_203118
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:31:54.378706+00:00,,,,20260304_203118
backtest_run,57c93d1800c1a836980463371ef9990b,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 4046, ""n_market_games"": 0}",2026-03-04T20:32:54.060610+00:00,,,,20260304_203220
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:32:56.241916+00:00,,,,20260304_203220
backtest_run,2f2c60a47eb74bbefe297e627f73f3bf,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 4046, ""n_market_games"": 0}",2026-03-04T20:33:46.898959+00:00,,,,20260304_203313
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:33:49.124876+00:00,,,,20260304_203313
backtest_run,50b1cf158cddb9e76a134857fcb13772,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 4046, ""n_market_games"": 0}",2026-03-04T20:34:35.586036+00:00,,,,20260304_203403
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:34:37.795769+00:00,,,,20260304_203403
backtest_run,abc2389e03ae2267f0b55bfb960910d5,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 118, ""n_market_games"": 0}",2026-03-04T20:43:23.722024+00:00,,,,20260304_204320
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:43:25.718297+00:00,,,,20260304_204320
backtest_run,dcef39efb1e4a9750c4fa1dc23f21660,warning,missing_market_spreads,"{""selected_models"": [""FourFactors"", ""AdjEfficiency"", ""Pythagorean"", ""Situational"", ""CAGERankings"", ""LuckRegression"", ""Variance"", ""HomeAwayForm""], ""n_games"": 118, ""n_market_games"": 0}",2026-03-04T20:52:00.420119+00:00,,,,20260304_205156
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 85}",2026-03-04T20:52:02.319238+00:00,,,,20260304_205156
