game_id,home_team,away_team,game_datetime_utc,skip_reason,skip_detail,skipped_at_utc
401851241,Eastern Kentucky Colonels,Stetson Hatters,2026-03-04T22:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.204884+00:00
401851636,James Madison Dukes,Louisiana Ragin' Cajuns,2026-03-04T23:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.274995+00:00
401822969,Butler Bulldogs,Creighton Bluejays,2026-03-04T23:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.344522+00:00
401828459,La Salle Explorers,Fordham Rams,2026-03-04T23:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.413947+00:00
401825555,Indiana Hoosiers,Minnesota Golden Gophers,2026-03-04T23:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.483209+00:00
401808273,Arkansas Razorbacks,Texas Longhorns,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.552655+00:00
401820784,SMU Mustangs,Miami Hurricanes,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.621973+00:00
401851523,SIU Edwardsville Cougars,Eastern Illinois Panthers,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.691234+00:00
401851516,Le Moyne Dolphins,Stonehill Skyhawks,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.760837+00:00
401851515,Mercyhurst Lakers,Fairleigh Dickinson Knights,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.829759+00:00
401851514,Central Connecticut Blue Devils,Wagner Seahawks,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.899228+00:00
401851513,Long Island University Sharks,Chicago State Cougars,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:17.968616+00:00
401851428,Oakland Golden Grizzlies,Northern Kentucky Norse,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.038773+00:00
401851426,Detroit Mercy Titans,Milwaukee Panthers,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.108809+00:00
401851424,Robert Morris Colonials,Youngstown State Penguins,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.178080+00:00
401851423,Wright State Raiders,Cleveland State Vikings,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.246832+00:00
401828460,George Washington Revolutionaries,St. Bonaventure Bonnies,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.316072+00:00
401828458,Rhode Island Rams,Duquesne Dukes,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.384805+00:00
401828457,Davidson Wildcats,Saint Joseph's Hawks,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.453248+00:00
401828256,Charlotte 49ers,UAB Blazers,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.522663+00:00
401822971,Providence Friars,Marquette Golden Eagles,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.598981+00:00
401820780,Georgia Tech Yellow Jackets,California Golden Bears,2026-03-05T00:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.671447+00:00
401851346,South Carolina Upstate Spartans,Gardner-Webb Runnin' Bulldogs,2026-03-05T00:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.742830+00:00
401851243,West Georgia Wolves,North Florida Ospreys,2026-03-05T00:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.815230+00:00
401825557,Penn State Nittany Lions,Ohio State Buckeyes,2026-03-05T00:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.885856+00:00
401828461,Saint Louis Billikens,Loyola Chicago Ramblers,2026-03-05T01:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:18.958075+00:00
401851619,Oral Roberts Golden Eagles,Kansas City Roos,2026-03-05T01:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:19.030427+00:00
401828258,North Texas Mean Green,Rice Owls,2026-03-05T01:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:19.102597+00:00
401825559,Wisconsin Badgers,Maryland Terrapins,2026-03-05T01:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:19.173917+00:00
401822970,DePaul Blue Demons,Villanova Wildcats,2026-03-05T01:00Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:19.244584+00:00
401825556,Northwestern Wildcats,Purdue Boilermakers,2026-03-05T01:30Z,prediction_exception,Invalid comparison between dtype=datetime64[ns] and Timestamp,2026-03-04 21:30:19.315664+00:00
