tweet_id,handle,handicapper_id,text,created_at,tweet_url
mock_1772428063_@CBB_Edge,@CBB_Edge,1,FADE Gonzaga ML - overvalued,2026-03-02T05:07:43.939715,https://twitter.com/@CBB_Edge/status/mock
mock_1772428003_@CBB_Edge,@CBB_Edge,1,Houston +8.5 LIVE DOG (2.0u),2026-03-02T05:06:43.939715,https://twitter.com/@CBB_Edge/status/mock
mock_1772428123_@CBB_Edge,@CBB_Edge,1,Kansas +6.3 LIVE DOG (1.0u),2026-03-02T05:08:43.939715,https://twitter.com/@CBB_Edge/status/mock
mock_1772428303_@CBB_Edge,@CBB_Edge,1,UConn +4.9 LIVE DOG (1.5u),2026-03-02T05:11:43.939715,https://twitter.com/@CBB_Edge/status/mock
mock_1772426083_@HoopsLock,@HoopsLock,1,Duke vs Kansas OVER 143.3 (1.5u),2026-03-02T04:34:43.939715,https://twitter.com/@HoopsLock/status/mock
mock_1772428963_@HoopsLock,@HoopsLock,1,FADE UConn ML - overvalued,2026-03-02T05:22:43.939715,https://twitter.com/@HoopsLock/status/mock
mock_1772429083_@HoopsLock,@HoopsLock,1,Illinois vs Kansas OVER 142.2 (1.5u),2026-03-02T05:24:43.939715,https://twitter.com/@HoopsLock/status/mock
mock_1772428783_@HoopsLock,@HoopsLock,1,Illinois vs Duke OVER 145.5 (1.5u),2026-03-02T05:19:43.939715,https://twitter.com/@HoopsLock/status/mock
mock_1772427643_@MidMajorGuru,@MidMajorGuru,1,FADE Kansas ML - overvalued,2026-03-02T05:00:43.939715,https://twitter.com/@MidMajorGuru/status/mock
mock_1772428963_@MidMajorGuru,@MidMajorGuru,1,UConn vs Illinois OVER 143.6 (2.5u),2026-03-02T05:22:43.939715,https://twitter.com/@MidMajorGuru/status/mock
mock_1772427943_@MidMajorGuru,@MidMajorGuru,1,Illinois -3.8 (1.5u) - 🔥 confidence,2026-03-02T05:05:43.939715,https://twitter.com/@MidMajorGuru/status/mock
mock_1772426323_@MidMajorGuru,@MidMajorGuru,1,UConn -6.0 (1.0u) - 🔥 confidence,2026-03-02T04:38:43.939715,https://twitter.com/@MidMajorGuru/status/mock
mock_1772427883_@PublicFader,@PublicFader,1,FADE Illinois ML - overvalued,2026-03-02T05:04:43.939715,https://twitter.com/@PublicFader/status/mock
mock_1772427763_@PublicFader,@PublicFader,1,Purdue +3.9 LIVE DOG (2.0u),2026-03-02T05:02:43.939715,https://twitter.com/@PublicFader/status/mock
