kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
1,Duke,ACC,34,32,2,128.2,90.8,37.4,0.9813,1.0,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,60.1,46.6,35.1,30.4,44.4,45.7,65.8,13.7
2,Michigan,B10,34,31,3,127.7,91.0,36.7,0.9799,1.0,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,61.0,44.3,36.0,30.2,41.8,41.8,71.2,14.0
3,Arizona,B12,34,32,2,126.9,91.4,35.5,0.9776,1.0,55.1,45.0,15.1,16.7,38.1,26.9,42.9,27.7,55.4,43.8,36.0,31.4,26.8,37.2,70.0,13.7
4,Florida,SEC,33,26,7,126.1,92.3,33.8,0.9732,1.0,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,57.9,45.2,30.8,32.4,37.1,33.7,70.4,8.5
5,Houston,B12,34,28,6,125.3,92.4,32.9,0.9709,2.0,52.1,46.6,13.0,21.0,35.9,30.9,26.9,39.0,51.9,45.5,34.9,32.1,40.8,40.9,63.3,9.0
6,Illinois,B10,32,24,8,131.9,98.2,33.7,0.9676,3.0,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,58.2,48.0,34.7,31.4,50.7,42.2,65.7,6.6
7,Iowa St.,B12,34,27,7,123.8,92.6,31.2,0.9655,2.0,56.5,49.5,15.1,22.4,35.3,28.1,34.0,27.9,55.5,50.5,38.7,32.1,38.8,42.8,67.0,7.4
8,Purdue,B10,35,27,8,133.3,100.3,33.0,0.9636,2.0,57.6,52.3,13.5,15.6,36.3,26.4,28.6,26.0,58.1,53.1,37.9,34.2,40.9,45.0,64.4,9.2
9,Connecticut,BE,34,29,5,123.1,95.0,28.1,0.9517,2.0,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,57.1,45.8,35.2,30.3,40.3,36.2,64.6,8.9
10,Vanderbilt,SEC,34,26,8,127.5,99.4,28.1,0.9461,5.0,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,56.8,49.1,35.5,32.2,43.6,37.9,69.0,7.3
11,Gonzaga,WCC,33,30,3,120.3,94.0,26.3,0.9446,3.0,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31.0,58.7,46.2,34.0,30.8,31.0,43.7,68.9,7.4
12,Texas Tech,B12,32,22,10,126.3,98.8,27.5,0.9439,5.0,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,53.6,50.6,39.3,31.5,48.0,35.0,66.4,5.1
13,Michigan St.,B10,32,25,7,122.9,96.2,26.7,0.9438,3.0,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,53.4,48.0,35.9,32.9,36.4,46.0,66.0,7.5
14,Virginia,ACC,34,29,5,122.3,95.8,26.5,0.9427,3.0,54.6,45.3,16.0,15.6,37.9,29.2,33.0,33.0,55.2,44.7,35.9,30.9,46.5,37.5,65.6,7.8
15,St. John's,BE,34,28,6,119.8,94.1,25.7,0.9415,5.0,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,51.6,47.5,33.2,31.3,33.8,33.7,69.6,7.3
16,Tennessee,SEC,33,22,11,121.5,95.5,26.0,0.9408,6.0,51.6,47.7,17.1,16.3,45.1,27.9,38.7,36.2,52.2,49.2,33.4,30.6,31.7,44.4,65.2,4.1
17,Louisville,ACC,33,23,10,124.0,98.2,25.8,0.9364,6.0,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,59.7,48.6,35.7,32.7,52.8,39.1,69.7,4.0
18,Alabama,SEC,32,23,9,129.5,102.8,26.7,0.9344,4.0,55.4,49.2,13.0,12.6,31.8,32.8,37.2,32.7,57.3,48.6,35.8,33.5,53.7,35.1,73.1,6.6
19,Arkansas,SEC,34,26,8,127.9,101.6,26.3,0.9337,4.0,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,55.6,53.7,38.9,31.7,33.4,38.2,71.0,7.5
20,Nebraska,B10,32,26,6,117.2,93.5,23.7,0.9308,4.0,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,58.1,50.6,35.3,29.9,50.7,49.3,66.8,7.5
21,Wisconsin,B10,34,24,10,127.2,101.6,25.6,0.9294,5.0,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,54.8,52.3,36.1,33.3,52.6,40.2,68.7,5.4
22,Kansas,B12,33,23,10,117.8,94.4,23.4,0.9278,4.0,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,51.1,44.7,35.0,30.7,35.7,42.0,67.6,6.3
