layer_name,scenario,market,status,hit_rate,lift,p_value,n,season_consistent,last_backtest_date,prune_reason,notes,registry_version_utc
five_twelve_matchup,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
five_twelve_matchup,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
five_twelve_matchup,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
six_eleven_matchup,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
six_eleven_matchup,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
six_eleven_matchup,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
eight_nine_matchup,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
eight_nine_matchup,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
eight_nine_matchup,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
double_digit_seed_high_efficiency,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
double_digit_seed_high_efficiency,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
double_digit_seed_high_efficiency,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
blue_blood_favorite_inflated,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
blue_blood_favorite_inflated,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
blue_blood_favorite_inflated,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
seed_diff_misleads_efficiency,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
seed_diff_misleads_efficiency,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
seed_diff_misleads_efficiency,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
mid_major_top100_efficiency_underdog,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
mid_major_top100_efficiency_underdog,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
mid_major_top100_efficiency_underdog,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rd1_bye_advantage,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rd1_bye_advantage,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rd1_bye_advantage,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
opponent_conf_tourney_champ_fatigue,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
opponent_conf_tourney_champ_fatigue,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
opponent_conf_tourney_champ_fatigue,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rest_differential_2plus_days,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rest_differential_2plus_days,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
rest_differential_2plus_days,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
opponent_conf_tourney_runner_up_fatigue,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:16Z,insufficient_sample,PROVISIONAL,2026-03-12T18:00:16Z
