layer_name,scenario,market,status,hit_rate,lift,p_value,n,season_consistent,last_backtest_date,prune_reason,notes,tier
ane_gap_plus_rest,situational_blowout_win,ats,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
back_to_back_one_team,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
blue_blood_favorite_inflated,march_madness_rd1_rd2,ats,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
blue_blood_favorite_inflated,march_madness_rd1_rd2,ml,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
blue_blood_favorite_inflated,march_madness_rd1_rd2,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
blue_blood_opponent,situational_underdog,ats,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
blue_blood_opponent,situational_underdog,ml,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_bottom25_tempo,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_coming_off_high_scoring_games,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_coming_off_low_scoring_games,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_coming_off_ot,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_def_rating_bottom50,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_efg_above_52,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_efg_above_54,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_efg_allowed_above_54,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_efg_below_48,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_force_high_tov,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_high_foul_rate,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_high_ft_dependency,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_high_halfcourt_rate,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_high_live_tov,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_high_spr,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_low_3pa_rate,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_low_dpc,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_low_ft_rate,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_low_halfcourt_rate,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_low_spr,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_mti_flat_or_declining,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_mti_trending_up,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_mti_trending_up,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_odi_defensive,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_odi_offensive,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_odi_offensive,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_poor_defenses,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_poor_interior_defense,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_poor_oreb,situational_blowout_under,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_poor_perimeter_defense,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_ppp_above_threshold,situational_blowout_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
both_teams_fast_tempo,situational_over,total,pruned,,,,0,False,2026-03-12T18:00:37Z,insufficient_sample,PROVISIONAL,Tier 3
