game_id,game_datetime_utc,game_date,home_team,away_team,spread_line,total_line,ens_spread,ens_spread,ens_total,ens_total,mc_home_win_pct,ens_spread_edge_pts,ens_total_edge_pts,home_last5_net,home_last10_net,away_last5_net,away_last10_net,generated_at,pipeline_run_id
401858186.0,2026-03-12T15:00:00Z,,Miami (OH) RedHawks,Massachusetts Minutemen,-7.5,165.5,-5.49,,155.4,,,,,,,,,2026-03-11T10:57:28Z,22949132396
401851263.0,2026-03-12T15:30:00Z,,Fordham Rams,George Washington Revolutionaries,5.5,140.5,3.77,,116.1,,,,,2.0,2.0,40.0,40.0,2026-03-11T10:57:28Z,22949132396
401851258.0,2026-03-11T15:30:00Z,,La Salle Explorers,St. Bonaventure Bonnies,5.5,144.5,6.41,,109.6,,,,,-27.0,-27.0,9.0,9.0,2026-03-11T10:57:28Z,22949132396
401851365.0,2026-03-11T16:00:00Z,,Iowa Hawkeyes,Maryland Terrapins,-11.5,137.5,-13.71,,125.1,,,,,,,20.0,20.0,2026-03-11T10:57:28Z,22949132396
401851173.0,2026-03-11T16:00:00Z,,NC State Wolfpack,Pittsburgh Panthers,-8.5,144.5,-8.08,,125.0,,,,,46.0,46.0,12.0,12.0,2026-03-11T10:57:28Z,22949132396
401851289.0,2026-03-11T16:30:00Z,,Iowa State Cyclones,Arizona State Sun Devils,-11.5,147.5,-6.28,,141.2,,,,,16.0,16.0,15.0,15.0,2026-03-11T10:57:28Z,22949132396
401851557.0,2026-03-11T16:30:00Z,,Kentucky Wildcats,LSU Tigers,-7.5,151.5,-5.64,,148.1,,,,,-8.0,-8.0,35.0,35.0,2026-03-11T10:57:28Z,22949132396
401851718.0,2026-03-11T18:00:00Z,,Bethune-Cookman Wildcats,Prairie View A&M Panthers,-5.5,151.5,-4.91,,149.3,,,,,41.0,41.0,-27.0,-27.0,2026-03-11T10:57:28Z,22949132396
401851260.0,2026-03-11T18:00:00Z,,Richmond Spiders,Loyola Chicago Ramblers,-5.5,143.5,-9.89,,118.9,,,,,4.0,4.0,-2.0,-2.0,2026-03-11T10:57:28Z,22949132396
401851174.0,2026-03-11T18:30:00Z,,Louisville Cardinals,SMU Mustangs,-6.5,163.5,-11.0,,144.4,,,,,8.0,8.0,11.0,11.0,2026-03-11T10:57:28Z,22949132396
401851367.0,2026-03-11T18:30:00Z,,Washington Huskies,USC Trojans,-5.5,152.5,-4.65,,115.5,,,,,-9.0,-9.0,31.0,31.0,2026-03-11T10:57:28Z,22949132396
401851558.0,2026-03-11T19:00:00Z,,Auburn Tigers,Mississippi State Bulldogs,-7.5,159.5,-8.45,,153.3,,,,,31.0,31.0,-16.0,-16.0,2026-03-11T10:57:28Z,22949132396
401851495.0,2026-03-11T19:00:00Z,,UNLV Rebels,Wyoming Cowboys,-3.5,154.5,-5.28,,151.0,,,,,-9.0,-9.0,14.0,14.0,2026-03-11T10:57:28Z,22949132396
401851291.0,2026-03-11T19:00:00Z,,UCF Knights,Cincinnati Bearcats,2.5,147.5,-3.76,,153.0,,,,,37.0,37.0,12.0,12.0,2026-03-11T10:57:28Z,22949132396
401851308.0,2026-03-11T20:00:00Z,,Butler Bulldogs,Providence Friars,1.5,162.5,-1.24,,127.6,,,,,32.0,32.0,25.0,25.0,2026-03-11T10:57:28Z,22949132396
