model_a,model_b,corr
ens_spread,pred_home_spread,1.0
adjefficiency_spread,cagerankings_spread,0.9999835213834077
adjefficiency_spread,variance_spread,0.9992825315167948
cagerankings_spread,variance_spread,0.9992669592923497
adjefficiency_spread,situational_spread,0.9882721940340079
situational_spread,variance_spread,0.9875809058203675
cagerankings_spread,situational_spread,0.9874947747273178
cagerankings_spread,pred_home_spread,0.982495858976523
cagerankings_spread,ens_spread,0.982495858976523
adjefficiency_spread,pred_home_spread,0.9819693393502013
adjefficiency_spread,ens_spread,0.9819693393502013
ens_spread,variance_spread,0.9814613274355805
pred_home_spread,variance_spread,0.9814613274355805
luckregression_spread,pythagorean_spread,0.9712982455271897
pred_home_spread,situational_spread,0.9604382513403126
ens_spread,situational_spread,0.9604382513403125
ens_spread,pythagorean_spread,0.944228162008895
pred_home_spread,pythagorean_spread,0.944228162008895
ens_spread,luckregression_spread,0.9167888505751766
luckregression_spread,pred_home_spread,0.9167888505751766
cagerankings_spread,pythagorean_spread,0.8942400378393316
pythagorean_spread,variance_spread,0.8937832290936633
adjefficiency_spread,pythagorean_spread,0.8936857121796398
pythagorean_spread,situational_spread,0.8770070824852811
adjefficiency_spread,luckregression_spread,0.8751745031546897
cagerankings_spread,luckregression_spread,0.8748784008028975
luckregression_spread,variance_spread,0.8746958216549147
luckregression_spread,situational_spread,0.8742321920957867
homeawayform_spread,pred_home_spread,0.46096219669136174
ens_spread,homeawayform_spread,0.46096219669136174
homeawayform_spread,pythagorean_spread,0.3737277279142401
cagerankings_spread,homeawayform_spread,0.34719377821632585
adjefficiency_spread,homeawayform_spread,0.34308017848969774
homeawayform_spread,variance_spread,0.34253148937962186
homeawayform_spread,luckregression_spread,0.26074374716703413
homeawayform_spread,situational_spread,0.24314606601429242
fourfactors_spread,pred_home_spread,0.17050427140267344
ens_spread,fourfactors_spread,0.17050427140267344
cagerankings_spread,fourfactors_spread,0.16052697410432723
fourfactors_spread,variance_spread,0.16005043408440967
fourfactors_spread,pythagorean_spread,0.15998644051528524
adjefficiency_spread,fourfactors_spread,0.1598544863015905
fourfactors_spread,situational_spread,0.14241298532420799
fourfactors_spread,homeawayform_spread,0.13797662033612942
fourfactors_spread,luckregression_spread,0.13763801735456907
fourfactors_spread,pred_away_spread,-0.17050427140267344
homeawayform_spread,pred_away_spread,-0.46096219669136174
luckregression_spread,pred_away_spread,-0.9167888505751766
pred_away_spread,pythagorean_spread,-0.944228162008895
pred_away_spread,situational_spread,-0.9604382513403126
pred_away_spread,variance_spread,-0.9814613274355805
adjefficiency_spread,pred_away_spread,-0.9819693393502013
cagerankings_spread,pred_away_spread,-0.982495858976523
pred_away_spread,pred_home_spread,-1.0
ens_spread,pred_away_spread,-1.0
espn_spread,pred_home_spread,
espn_spread,pred_away_spread,
espn_spread,fourfactors_spread,
espn_spread,pythagorean_spread,
espn_spread,situational_spread,
espn_spread,luckregression_spread,
espn_spread,variance_spread,
espn_spread,homeawayform_spread,
adjefficiency_spread,espn_spread,
cagerankings_spread,espn_spread,
ens_spread,espn_spread,
