dimension,group,n_games,ats_wins,ats_losses,ats_pushes,ats_win_rate,mean_abs_error,mean_signed_error,correct_side_rate,mean_confidence,sufficient_sample,pipeline_run_id
conference_tier,HIGH,11,7,4,0,0.6363636363636364,7.825454545454545,3.598181818181818,0.45454545454545453,0.9216363636363636,False,22441096216
conference_tier,LOW,31,16,15,0,0.5161290322580645,7.5196774193548395,-0.3687096774193548,0.7419354838709677,0.8434516129032258,True,22441096216
conference_tier,MID,5,3,2,0,0.6,2.4799999999999995,-1.6280000000000001,0.8,0.9128000000000001,False,22441096216
day_of_week,Sun,47,26,21,0,0.5531914893617021,7.055106382978723,0.42574468085106393,0.6808510638297872,0.869127659574468,True,22441096216
favorite_side,away_fav,14,8,6,0,0.5714285714285714,8.036428571428571,0.25642857142857167,0.5,0.9162857142857143,False,22441096216
favorite_side,home_fav,33,18,15,0,0.5454545454545454,6.63878787878788,0.4975757575757575,0.7575757575757576,0.8491212121212122,True,22441096216
month,Feb,47,26,21,0,0.5531914893617021,7.055106382978723,0.42574468085106393,0.6808510638297872,0.869127659574468,True,22441096216
spread_bucket,0-3,19,10,9,0,0.5263157894736842,7.0394736842105265,0.04684210526315783,0.5789473684210527,0.9046315789473683,False,22441096216
spread_bucket,3-6,18,13,5,0,0.7222222222222222,6.4961111111111105,1.3072222222222223,0.7777777777777778,0.8213333333333332,False,22441096216
spread_bucket,6-10,8,3,5,0,0.375,8.885,0.6775000000000003,0.625,0.915875,False,22441096216
