game_id,game_datetime_utc,home_team,away_team,pred_spread,actual_margin,spread_error,abs_error,covered,correct_side,model_confidence,game_tier,home_conference,away_conference,total_line,pred_total,actual_total,conference_name,pipeline_run_id
401825532,2026-02-22 01:00:00+00:00,UCLA Bruins,Illinois Fighting Illini,4.26,1.0,5.26,5.26,True,False,0.901,UNKNOWN,Pac-12,Pac-12,,160.5,189.0,Pac-12,20260227_014011
401829255,2026-02-22 02:00:00+00:00,Gonzaga Bulldogs,Pacific Tigers,-10.64,9.0,-1.6400000000000006,1.6400000000000006,False,True,0.95,UNKNOWN,America East Conference,America East Conference,,151.6,133.0,America East Conference,20260227_014011
401822955,2026-02-22 01:15:00+00:00,DePaul Blue Demons,Providence Friars,0.33,-3.0,-2.67,2.67,False,True,0.95,UNKNOWN,Big 12,Big 12,,150.4,139.0,Big 12,20260227_014011
401808256,2026-02-22 01:30:00+00:00,Oklahoma Sooners,Texas A&M Aggies,-2.45,-4.0,-6.45,6.45,False,False,0.884,UNKNOWN,Patriot League,Patriot League,,161.5,146.0,Patriot League,20260227_014011
401808250,2026-02-22 01:38:00+00:00,Auburn Tigers,Kentucky Wildcats,-1.3,1.0,-0.30000000000000004,0.30000000000000004,False,True,0.868,UNKNOWN,Patriot League,Patriot League,,159.8,149.0,Patriot League,20260227_014011
401827699,2026-02-22 02:00:00+00:00,Utah Utes,UCF Knights,-0.08,-2.0,-2.08,2.08,False,False,0.95,UNKNOWN,Southeastern Conference,Southeastern Conference,,137.3,144.0,Southeastern Conference,20260227_014011
401823269,2026-02-22 02:00:00+00:00,Long Beach State Beach,Cal State Northridge Matadors,3.43,-2.0,1.4300000000000002,1.4300000000000002,True,True,0.877,UNKNOWN,Atlantic 10,Atlantic 10,,155.9,154.0,Atlantic 10,20260227_014011
401804939,2026-02-22 02:00:00+00:00,New Mexico State Aggies,UTEP Miners,-3.98,4.0,0.020000000000000018,0.020000000000000018,True,True,0.949,UNKNOWN,Missouri Valley Conference,Missouri Valley Conference,,145.4,130.0,Missouri Valley Conference,20260227_014011
401823185,2026-02-22 02:30:00+00:00,Cal State Bakersfield Roadrunners,Cal State Fullerton Titans,5.84,-8.0,-2.16,2.16,False,True,0.942,UNKNOWN,Atlantic 10,Atlantic 10,,148.8,168.0,Atlantic 10,20260227_014011
401808509,2026-02-22 02:30:00+00:00,Weber State Wildcats,Montana Grizzlies,-4.52,20.0,15.48,15.48,True,True,0.874,UNKNOWN,Conference USA,Conference USA,,150.5,164.0,Conference USA,20260227_014011
401829257,2026-02-22 03:00:00+00:00,Seattle U Redhawks,Portland Pilots,-1.55,12.0,10.45,10.45,True,True,0.95,UNKNOWN,America East Conference,America East Conference,,135.8,130.0,America East Conference,20260227_014011
401809100,2026-02-22 03:00:00+00:00,UC Irvine Anteaters,UC San Diego Tritons,-6.11,-2.0,-8.11,8.11,False,False,0.95,UNKNOWN,Atlantic 10,Atlantic 10,,145.6,140.0,Atlantic 10,20260227_014011
401808484,2026-02-22 03:00:00+00:00,Sacramento State Hornets,Idaho Vandals,-3.7,-6.0,-9.7,9.7,False,False,0.943,UNKNOWN,Conference USA,Conference USA,,158.9,166.0,Conference USA,20260227_014011
401829319,2026-02-22 03:00:00+00:00,Nevada Wolf Pack,Utah State Aggies,3.38,3.0,6.38,6.38,True,False,0.889,UNKNOWN,Independents,Independents,,158.8,157.0,Independents,20260227_014011
401829259,2026-02-22 03:00:00+00:00,San Francisco Dons,Santa Clara Broncos,4.89,-21.0,-16.11,16.11,False,True,0.915,UNKNOWN,America East Conference,America East Conference,158.5,156.8,167.0,America East Conference,20260227_014011
401809149,2026-02-22 03:00:00+00:00,Hawai'i Rainbow Warriors,UC Santa Barbara Gauchos,-2.32,3.0,0.6800000000000002,0.6800000000000002,True,True,0.846,UNKNOWN,Atlantic 10,Atlantic 10,,158.7,153.0,Atlantic 10,20260227_014011
401829258,2026-02-22 03:07:00+00:00,Washington State Cougars,Saint Mary's Gaels,1.37,-16.0,-14.629999999999999,14.629999999999999,False,True,0.933,UNKNOWN,America East Conference,America East Conference,,157.6,150.0,America East Conference,20260227_014011
401827693,2026-02-22 03:38:00+00:00,BYU Cougars,Iowa State Cyclones,1.18,10.0,11.18,11.18,True,False,0.95,UNKNOWN,Southeastern Conference,Southeastern Conference,154.5,157.4,148.0,Southeastern Conference,20260227_014011
401813394,2026-02-22 17:00:00+00:00,Rider Broncs,Niagara Purple Eagles,-4.75,5.0,0.25,0.25,True,True,0.6,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,130.5,129.1,129.0,Metro Atlantic Athletic Conference,20260227_014011
401824312,2026-02-22 18:00:00+00:00,Merrimack Warriors,Iona Gaels,-3.82,2.0,-1.8199999999999998,1.8199999999999998,False,True,0.6,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,137.5,152.9,174.0,Metro Atlantic Athletic Conference,20260227_014011
401817676,2026-02-22 18:00:00+00:00,Detroit Mercy Titans,Green Bay Phoenix,-3.94,4.0,0.06000000000000005,0.06000000000000005,True,True,0.6,UNKNOWN,Horizon League,Horizon League,148.5,163.5,144.0,Horizon League,20260227_014011
401813343,2026-02-22 18:00:00+00:00,Marist Red Foxes,Sacred Heart Pioneers,-10.19,2.0,-8.19,8.19,False,True,0.6,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,146.5,152.6,128.0,Metro Atlantic Athletic Conference,20260227_014011
401813431,2026-02-22 19:00:00+00:00,Siena Saints,Saint Peter's Peacocks,-4.36,9.0,4.64,4.64,True,True,0.6,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,136.5,137.9,135.0,Metro Atlantic Athletic Conference,20260227_014011
401813370,2026-02-22 19:00:00+00:00,Mount St. Mary's Mountaineers,Canisius Golden Griffins,-4.79,21.0,16.21,16.21,True,True,0.6,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,134.5,148.0,115.0,Metro Atlantic Athletic Conference,20260227_014011
401817677,2026-02-22 20:00:00+00:00,Oakland Golden Grizzlies,Milwaukee Panthers,-2.67,11.0,8.33,8.33,True,True,0.6,UNKNOWN,Horizon League,Horizon League,159.5,153.5,151.0,Horizon League,20260227_014011
401827693,2026-02-22 03:38:00+00:00,BYU Cougars,Iowa State Cyclones,1.18,10.0,11.18,11.18,True,False,0.95,UNKNOWN,Southeastern Conference,Southeastern Conference,154.5,157.4,148.0,Southeastern Conference,20260227_014011
401828679,2026-02-22 17:00:00+00:00,Lafayette Leopards,American University Eagles,1.16,-14.0,-12.84,12.84,False,True,0.946,UNKNOWN,Independent,Independent,140.5,138.4,136.0,Independent,20260227_014011
401828240,2026-02-22 17:00:00+00:00,Memphis Tigers,UAB Blazers,-2.29,-11.0,-13.29,13.29,False,False,0.95,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,150.5,146.9,145.0,Atlantic Coast Conference,20260227_014011
401824435,2026-02-22 17:00:00+00:00,Bucknell Bison,Holy Cross Crusaders,2.95,-9.0,-6.05,6.05,False,True,0.914,UNKNOWN,Independent,Independent,142.5,137.9,135.0,Independent,20260227_014011
401824375,2026-02-22 17:00:00+00:00,Lehigh Mountain Hawks,Boston University Terriers,7.05,3.0,10.05,10.05,True,False,0.849,UNKNOWN,Independent,Independent,143.5,152.9,137.0,Independent,20260227_014011
401813394,2026-02-22 17:00:00+00:00,Rider Broncs,Niagara Purple Eagles,1.25,5.0,6.25,6.25,True,False,0.923,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,131.5,127.3,129.0,Metro Atlantic Athletic Conference,20260227_014011
401825534,2026-02-22 18:00:00+00:00,Michigan State Spartans,Ohio State Buckeyes,-3.53,6.0,2.47,2.47,True,True,0.833,UNKNOWN,Pac-12,Pac-12,147.5,155.5,126.0,Pac-12,20260227_014011
401824312,2026-02-22 18:00:00+00:00,Merrimack Warriors,Iona Gaels,-8.81,2.0,-6.8100000000000005,6.8100000000000005,False,True,0.95,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,138.5,144.5,174.0,Metro Atlantic Athletic Conference,20260227_014011
401817676,2026-02-22 18:00:00+00:00,Detroit Mercy Titans,Green Bay Phoenix,-1.03,4.0,2.9699999999999998,2.9699999999999998,True,True,0.881,UNKNOWN,Horizon League,Horizon League,148.5,154.4,144.0,Horizon League,20260227_014011
401813343,2026-02-22 18:00:00+00:00,Marist Red Foxes,Sacred Heart Pioneers,-1.64,2.0,0.3600000000000001,0.3600000000000001,True,True,0.95,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,146.5,145.4,128.0,Metro Atlantic Athletic Conference,20260227_014011
401828242,2026-02-22 19:00:00+00:00,Tulane Green Wave,Rice Owls,0.32,6.0,6.32,6.32,True,False,0.889,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,145.5,146.5,156.0,Atlantic Coast Conference,20260227_014011
401820593,2026-02-22 19:00:00+00:00,Quinnipiac Bobcats,Fairfield Stags,-2.12,-6.0,-8.120000000000001,8.120000000000001,False,False,0.95,UNKNOWN,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,148.5,141.0,164.0,Metro Atlantic Athletic Conference,20260227_014011
401817680,2026-02-22 19:00:00+00:00,Youngstown State Penguins,Northern Kentucky Norse,-6.05,6.0,-0.04999999999999982,0.04999999999999982,False,True,0.935,UNKNOWN,Horizon League,Horizon League,153.5,162.4,122.0,Horizon League,20260227_014011
401817679,2026-02-22 19:00:00+00:00,Wright State Raiders,Robert Morris Colonials,-3.91,-13.0,-16.91,16.91,False,False,0.95,UNKNOWN,Horizon League,Horizon League,146.5,160.7,149.0,Horizon League,20260227_014011
401817678,2026-02-22 19:00:00+00:00,Cleveland State Vikings,Purdue Fort Wayne Mastodons,-6.65,-6.0,-12.65,12.65,False,False,0.844,UNKNOWN,Horizon League,Horizon League,160.5,145.8,178.0,Horizon League,20260227_014011
