model_component,n_margin,mae_vs_actual_margin,corr_vs_actual_margin,n_ats,ats_hit_rate,ats_roi_flat_-110
homeawayform_spread,4048,25.270452075098817,-0.3883368696142667,403,0.5459057071960298,0.04218362282878412
pred_away_spread,4048,11.601004199604745,0.35006038187219757,403,0.511166253101737,-0.02413715316941123
ens_spread,4048,16.95521368577075,-0.35006038187219757,403,0.511166253101737,-0.024137153169411216
pred_home_spread,4048,16.95521368577075,-0.35006038187219757,403,0.511166253101737,-0.024137153169411216
situational_spread,4048,20.25355484189723,-0.2615704917317109,403,0.5037220843672456,-0.03834874802616736
adjefficiency_spread,4048,19.988330039525692,-0.31083149016616896,403,0.5012406947890818,-0.043085946311752756
cagerankings_spread,4048,19.956852766798416,-0.312953358155505,403,0.5012406947890818,-0.043085946311752756
luckregression_spread,4048,17.127588932806326,-0.269625204066113,403,0.4987593052109181,-0.04782314459733815
fourfactors_spread,4048,11.766899703557312,-0.10125260503276415,403,0.4913151364764268,-0.062034739454094295
variance_spread,4048,13.98766304347826,-0.310415762174364,403,0.4913151364764268,-0.062034739454094295
pythagorean_spread,4048,18.0544540513834,-0.343391466674741,403,0.47890818858560796,-0.08572073088202119
espn_spread,0,,,0,,
