raw_pick_id,tweet_id,handicapper_id,market,team_raw,line,units,odds,parse_status,pick_id,game_id,side,mapping_status
25,1842351531223,1,spread,Kansas Jayhawks,135.0,1.0,,partial,1,109,under,ok
31,1843479708607,3,total,St Johns Red Storm,,2.0,-110,success,2,112,under,ok
14,1847665963761,4,spread,St Johns Red Storm,135.0,1.5,,success,3,101,away,ok
24,1844332894265,5,moneyline,St Johns Red Storm,,2.0,-110,success,4,101,away,ok
9,1843783290795,1,total,Illinois Fighting Illini,142.5,2.0,,success,5,115,under,manual_override
11,1844026113008,3,total,Random Junk,,3.0,+120,success,6,102,home,manual_override
27,1846488854841,2,spread,Gonzaga Bulldogs,-5.5,2.5,,success,7,116,over,manual_override
18,1843783290795,7,moneyline,Kansas Jayhawks,-3.5,2.5,,success,8,108,under,ok
26,1843303082117,3,fade,Random Junk,2.5,1.0,-110,success,9,113,home,manual_override
17,1844026113008,3,spread,Random Junk,2.5,1.0,,success,10,101,away,ok
19,1845996775663,6,spread,Duke Blue Devils,,1.0,,success,11,116,away,ok
1,1848995970241,8,spread,Random Junk,142.5,1.0,+120,failed,12,107,home,ok
22,1843783290795,1,fade,Illinois Fighting Illini,,3.0,,success,13,105,over,manual_override
10,1844332894265,1,moneyline,Duke Blue Devils,2.5,1.0,,failed,14,103,away,manual_override
30,1842149938334,7,total,St Johns Red Storm,,3.0,,success,15,112,away,ok
2,1848110054933,2,fade,Gonzaga Bulldogs,142.5,2.5,,partial,16,116,away,manual_override
23,1844026113008,6,total,Illinois Fighting Illini,-3.5,2.5,-110,success,17,119,home,ok
16,1848110054933,1,fade,Random Junk,142.5,3.0,-110,success,18,105,under,ok
32,1846884882440,6,spread,Kansas Jayhawks,142.5,2.0,+120,fade_detected,19,114,away,ok
3,1844131575764,7,spread,Duke Blue Devils,2.5,2.0,-110,success,20,105,under,ok
34,1846649827836,8,total,Kansas Jayhawks,142.5,1.5,+120,partial,21,115,over,ok
20,1842566942273,8,total,Gonzaga Bulldogs,2.5,2.5,,success,22,117,away,ok
13,1846649827836,1,spread,Florida Atlantic Owls,-3.5,1.5,+120,success,23,114,away,ok
35,1842566942273,8,fade,UConn Huskies,2.5,3.0,-110,success,24,120,over,ok
4,1844026113008,4,total,St Johns Red Storm,2.5,1.0,,success,25,105,away,ok
