run_timestamp_utc,trigger,days_back,dates_fetched,games_found,games_parsed,games_failed,team_rows_written,player_rows_written,parse_version,dry_run,status
2026-02-24T23:33:25Z,unknown,1,2,36,36,0,72,102,v1.0.0,False,ok
2026-02-24T23:34:06Z,unknown,1,2,36,36,0,72,133,v1.0.0,False,ok
2026-02-24T23:51:07Z,unknown,1,2,36,36,0,72,133,v1.0.0,False,ok
2026-02-25T10:54:24Z,schedule,3,4,99,99,0,198,830,v1.0.0,False,ok
2026-02-25T23:20:50Z,workflow_dispatch,10,11,447,447,0,894,7534,v1.0.0,False,ok
2026-02-26T00:39:18Z,workflow_dispatch,3,12,147,147,0,294,1565,v1.0.0,False,ok
2026-02-26T08:28:22Z,workflow_dispatch,100,98,4596,4596,0,9192,90579,v1.0.0,False,ok
2026-02-27T00:12:49Z,workflow_dispatch,15,99,705,705,0,1410,12442,v1.0.0,False,ok
2026-02-27T01:15:50Z,workflow_dispatch,3,99,132,132,0,264,2031,v1.0.0,False,ok
2026-02-27T05:24:28Z,workflow_dispatch,4,99,168,168,0,336,2766,v1.0.0,False,ok
2026-02-27T10:47:51Z,schedule,3,99,132,132,0,264,2101,v1.0.0,False,ok
2026-02-27T20:51:13Z,workflow_dispatch,3,99,132,132,0,264,2101,v1.0.0,False,ok
