athlete_id,event_id,team_id,game_datetime_utc,min_l5,pts_l5,fgm_l5,fga_l5,tpm_l5,tpa_l5,ftm_l5,fta_l5,orb_l5,drb_l5,reb_l5,ast_l5,stl_l5,blk_l5,tov_l5,pf_l5,plus_minus_l5,efg_pct_l5,ts_pct_l5,fg_pct_l5,three_pct_l5,ft_pct_l5,usage_rate_l5,ast_tov_ratio_l5,pts_per_fga_l5,floor_pct_l5,pts_starter_l5,pts_bench_l5,min_starter_l5,min_bench_l5,efg_pct_starter_l5,efg_pct_bench_l5,usage_rate_starter_l5,usage_rate_bench_l5,pipeline_run_id
4067423,401828237,58,2026-02-20T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4401637,401814577,2199,2026-02-21T22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4401637,401814583,2199,2026-02-24T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431815,401808719,2837,2026-02-16T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431815,401808720,2837,2026-02-21T23:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431815,401808721,2837,2026-02-24T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,34.5,,40.0,,23.7,,22422478712
4431930,401828431,227,2026-02-18T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431930,401828440,227,2026-02-21T19:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431995,401828237,235,2026-02-20T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4431995,401828240,235,2026-02-22T17:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432175,401829250,2250,2026-02-19T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432175,401829255,2250,2026-02-22T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432182,401823952,2272,2026-02-20T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432182,401823957,2272,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432196,401808246,142,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432196,401808249,142,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432196,401808257,142,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,37.0,,64.1,,15.2,,22422478712
4432201,401805199,253,2026-02-20T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432201,401805202,253,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432204,401828444,2325,2026-02-24T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432243,401808243,251,2026-02-18T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432243,401808251,251,2026-02-21T20:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432243,401808264,251,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,27.5,,45.8,,18.05,,22422478712
4432321,401820747,150,2026-02-17T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432321,401820767,150,2026-02-25T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432364,401822776,2154,2026-02-16T21:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432364,401822777,2154,2026-02-21T21:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432494,401818424,2449,2026-02-19T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432494,401818431,2449,2026-02-21T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432515,401808246,142,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432515,401808249,142,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432515,401808257,142,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,7.5,,0.0,,3.5,22422478712
4432524,401828232,5,2026-02-19T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432524,401828240,5,2026-02-22T17:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432586,401825523,2483,2026-02-18T03:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432586,401825533,2483,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432589,401806494,2031,2026-02-20T01:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432589,401806499,2031,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432638,401827123,2296,2026-02-17T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432638,401828668,2296,2026-02-21T21:45Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432692,401812595,43,2026-02-21T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432737,401827689,12,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432737,401827695,12,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432737,401827700,12,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,37.5,,40.4,,29.1,,22422478712
4432739,401830306,93,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432749,401829318,23,2026-02-18T03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432749,401823831,23,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432749,401820573,23,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,33.0,,63.35,,17.65,,22422478712
4432897,401828434,2184,2026-02-19T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432897,401828439,2184,2026-02-21T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432897,401828445,2184,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,12.5,,,,2.15,22422478712
4432899,401823268,2463,2026-02-20T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4432899,401823269,2463,2026-02-22T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433001,401830305,339,2026-02-19T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433001,401830309,339,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433001,401830216,339,2026-02-26T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,35.0,,53.5,,15.65,,22422478712
4433138,401825524,130,2026-02-17T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433138,401817238,130,2026-02-21T23:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433138,401825537,130,2026-02-25T01:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,17.0,,31.25,,6.05,,22422478712
4433185,401804935,2623,2026-02-19T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433185,401804943,2623,2026-02-21T20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433208,401829250,2539,2026-02-19T04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433231,401812072,2261,2026-02-20T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433231,401812078,2261,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433273,401808885,2377,2026-02-17T00:40Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433273,401808886,2377,2026-02-22T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433273,401808887,2377,2026-02-24T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,24.5,,45.0,,8.45,,22422478712
4433275,401828244,249,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433285,401808246,142,2026-02-19T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433285,401808249,142,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433285,401808257,142,2026-02-25T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,37.5,,49.3,,23.6,,22422478712
4433286,401830305,339,2026-02-19T01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433286,401830309,339,2026-02-21T21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433286,401830216,339,2026-02-26T00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,31.5,,36.1,,26.1,,22422478712
4433340,401808241,2579,2026-02-18T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433340,401808254,2579,2026-02-21T18:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433512,401828433,2244,2026-02-19T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433512,401828446,2244,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433560,401813369,2099,2026-02-21T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433560,401813370,2099,2026-02-22T19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433577,401830242,2169,2026-02-17T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433577,401828715,2169,2026-02-21T22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433589,401829410,322,2026-02-26T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433596,401827691,277,2026-02-19T01:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
4433596,401827697,277,2026-02-21T22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22422478712
