game_id,game_datetime_utc,home_team,away_team,home_team_id,away_team_id,pred_spread,home_win_prob,signal_n_fired,signal_best_su,signal_best_holdout_su,signal_best_combo,signal_pick,signal_pick_side,model_pick,tracked_at,actual_margin,signal_correct,model_correct,home_score_actual,away_score_actual
401851423,2026-03-05T00:00:00Z,Wright State Raiders,Cleveland State Vikings,2750,325,-10.08,0.485,11957,0.8537,0.916,WL_season_diff|DPC_L4_diff,Wright State Raiders,home,Cleveland State Vikings,2026-03-07T00:20:24Z,,,,,
401856422,2026-03-06T19:00:00Z,North Carolina A&T Aggies,Northeastern Huskies,2448,111,-3.7,0.0911,9518,0.919,0.9172,FFC_season_diff|MTI|PEQ_L4_diff,North Carolina A&T Aggies,home,Northeastern Huskies,2026-03-07T00:20:24Z,,,,,
401851456,2026-03-06T01:30:00Z,Fairfield Stags,Manhattan Jaspers,2217,2363,-3.96,0.1382,9430,0.927,0.9352,DPC_L4_diff|FFC_season_diff|MTI,Fairfield Stags,home,Manhattan Jaspers,2026-03-07T00:20:24Z,,,,,
401851245,2026-03-06T17:00:00Z,Central Arkansas Bears,Bellarmine Knights,2110,91,-5.63,0.1947,8944,0.8537,0.916,WL_season_diff|DPC_L4_diff,Central Arkansas Bears,home,Bellarmine Knights,2026-03-07T00:20:24Z,,,,,
401851636,2026-03-04T23:00:00Z,James Madison Dukes,Louisiana Ragin' Cajuns,256,309,-8.24,0.31,8869,0.927,0.9352,DPC_L4_diff|FFC_season_diff|MTI,James Madison Dukes,home,Louisiana Ragin' Cajuns,2026-03-07T00:20:24Z,,,,,
401851486,2026-03-06T00:00:00Z,Valparaiso Beacons,Indiana State Sycamores,2674,282,-8.01,0.1301,8433,0.8592,0.9015,PEQ_L4_diff|WL_season_diff,Valparaiso Beacons,home,Indiana State Sycamores,2026-03-07T00:20:24Z,,,,,
401851426,2026-03-05T00:00:00Z,Detroit Mercy Titans,Milwaukee Panthers,2174,270,-4.29,0.1708,7515,0.832,0.8624,DPC_L4_diff|PEQ_season_diff|WL_L4_diff,Detroit Mercy Titans,home,Milwaukee Panthers,2026-03-07T00:20:24Z,,,,,
401814599,2026-03-07T00:00:00Z,Toledo Rockets,Buffalo Bulls,2649,2084,-2.95,0.1016,7143,0.8436,0.8837,DPC_L4_diff|FFC_L12_diff|PEQ_season_diff,Toledo Rockets,home,Buffalo Bulls,2026-03-07T00:20:24Z,,,,,
401851348,2026-03-06T19:30:00Z,Winthrop Eagles,Charleston Southern Buccaneers,2737,2127,-5.72,0.1584,6895,0.8592,0.9015,PEQ_L4_diff|WL_season_diff,Winthrop Eagles,home,Charleston Southern Buccaneers,2026-03-07T00:20:24Z,,,,,
401823056,2026-03-06T00:00:00Z,Maryland Eastern Shore Hawks,Delaware State Hornets,2379,2169,-14.41,0.4085,6880,0.8436,0.8837,DPC_L4_diff|FFC_L12_diff|PEQ_season_diff,Maryland Eastern Shore Hawks,home,Delaware State Hornets,2026-03-07T00:20:24Z,,,,,
401809151,2026-03-06T04:59:00Z,Hawai'i Rainbow Warriors,UC Riverside Highlanders,62,27,-9.21,0.1839,6730,0.8485,0.8881,WL_L12_diff|ODI_season_diff,Hawai'i Rainbow Warriors,home,UC Riverside Highlanders,2026-03-07T00:20:24Z,,,,,
401829290,2026-03-05T22:00:00Z,North Carolina Central Eagles,South Carolina State Bulldogs,2428,2569,-7.65,0.4231,6012,0.8429,0.8551,WL_L7_diff|ODI_season_diff,North Carolina Central Eagles,home,South Carolina State Bulldogs,2026-03-07T00:20:24Z,,,,,
401851350,2026-03-07T01:30:00Z,Radford Highlanders,Presbyterian Blue Hose,2515,2506,-5.45,0.3894,5778,0.927,0.9352,DPC_L4_diff|FFC_season_diff|MTI,Radford Highlanders,home,Presbyterian Blue Hose,2026-03-07T00:20:24Z,,,,,
401851545,2026-03-06T00:00:00Z,Colgate Raiders,Loyola Maryland Greyhounds,2142,2352,-2.78,0.0223,5469,0.9232,0.9027,DPC_L7_diff|FFC_season_diff|MTI,Colgate Raiders,home,Loyola Maryland Greyhounds,2026-03-07T00:20:24Z,,,,,
401808273,2026-03-05T00:00:00Z,Arkansas Razorbacks,Texas Longhorns,8,251,-4.57,0.0173,5078,0.9128,0.9015,ANE_season_diff|MTI|WL_L4_diff,Arkansas Razorbacks,home,Texas Longhorns,2026-03-07T00:20:24Z,,,,,
401851454,2026-03-05T23:00:00Z,Iona Gaels,Sacred Heart Pioneers,314,2529,-2.06,0.098,4697,0.8513,0.8684,DPC_L4_diff|FFC_L7_diff|PEQ_season_diff,Iona Gaels,home,Sacred Heart Pioneers,2026-03-07T00:20:24Z,,,,,
401825558,2026-03-05T03:30:00Z,Washington Huskies,USC Trojans,264,30,-9.42,0.2369,2019,0.8736,0.8968,MTI|PEQ_L4_diff|PEQ_season_diff,Washington Huskies,home,USC Trojans,2026-03-07T00:20:24Z,,,,,
401851246,2026-03-06T19:30:00Z,Lipscomb Bisons,Florida Gulf Coast Eagles,288,526,-7.52,0.3775,1977,0.8695,0.8841,DPC_L4_diff|MTI|PEQ_season_diff,Lipscomb Bisons,home,Florida Gulf Coast Eagles,2026-03-07T00:20:24Z,,,,,
401851514,2026-03-05T00:00:00Z,Central Connecticut Blue Devils,Wagner Seahawks,2115,2681,-7.19,0.1301,1776,0.8664,0.8372,WL_L7_diff|FFC_L7_diff,Central Connecticut Blue Devils,home,Wagner Seahawks,2026-03-07T00:20:24Z,,,,,
401823787,2026-03-07T03:00:00Z,San Diego State Aztecs,UNLV Rebels,21,2439,-3.83,0.0178,1113,0.8241,0.8542,PEQ_season_diff|ODI_L10_diff,San Diego State Aztecs,home,UNLV Rebels,2026-03-07T00:20:24Z,,,,,
