event_id,team_id,game_datetime_utc,home_away,h1_pts,h2_pts,h1_pts_against,h2_pts_against,h1_margin,h2_margin,h1_ortg,h2_ortg,h1_drtg,h2_drtg,h1_pts_l5,h2_pts_l5,h1_pts_against_l5,h2_pts_against_l5,h1_margin_l5,h2_margin_l5,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,h2_comeback_rate,pipeline_run_id
401820748,103,2026-02-17T23:00Z,away,42.0,30.0,32.0,48.0,10.0,-18.0,124.0,88.6,94.5,141.8,,,,,,,,,,,,,,22422478712
401820758,103,2026-02-21T21:00Z,away,36.0,34.0,40.0,54.0,-4.0,-20.0,109.4,103.3,121.6,164.1,42.0,30.0,32.0,48.0,10.0,-18.0,42.0,30.0,32.0,48.0,10.0,-18.0,,22422478712
401820764,103,2026-02-25T23:00Z,home,22.0,23.0,29.0,9.0,-7.0,14.0,92.1,96.3,121.4,37.7,39.0,32.0,36.0,51.0,3.0,-19.0,39.0,32.0,36.0,51.0,3.0,-19.0,,22422478712
401824374,104,2026-02-16T23:00Z,home,36.0,49.0,23.0,35.0,13.0,14.0,125.2,170.4,80.0,121.7,,,,,,,,,,,,,,22422478712
401824375,104,2026-02-22T17:00Z,away,28.0,39.0,29.0,41.0,-1.0,-2.0,94.6,131.8,98.0,138.5,36.0,49.0,23.0,35.0,13.0,14.0,36.0,49.0,23.0,35.0,13.0,14.0,,22422478712
401824376,104,2026-02-26T00:00Z,home,38.0,,27.0,,11.0,,262.1,,186.2,,32.0,44.0,26.0,38.0,6.0,6.0,32.0,44.0,26.0,38.0,6.0,6.0,,22422478712
401824394,107,2026-02-18T23:00Z,home,49.0,34.0,33.0,53.0,16.0,-19.0,140.6,97.6,94.7,152.1,,,,,,,,,,,,,,22422478712
401824435,107,2026-02-22T17:00Z,away,31.0,41.0,30.0,33.0,1.0,8.0,95.5,126.3,92.4,101.7,49.0,34.0,33.0,53.0,16.0,-19.0,49.0,34.0,33.0,53.0,16.0,-19.0,,22422478712
401824376,107,2026-02-26T00:00Z,away,27.0,,38.0,,-11.0,,182.2,,256.4,,40.0,37.5,31.5,43.0,8.5,-5.5,40.0,37.5,31.5,43.0,8.5,-5.5,,22422478712
401812622,108,2026-02-21T19:00Z,away,25.0,48.0,24.0,30.0,1.0,18.0,84.2,161.7,80.9,101.1,,,,,,,,,,,,,,22422478712
401812074,111,2026-02-20T00:00Z,home,24.0,37.0,29.0,41.0,-5.0,-4.0,72.6,111.9,87.7,123.9,,,,,,,,,,,,,,22422478712
401812079,111,2026-02-21T19:00Z,home,30.0,38.0,39.0,43.0,-9.0,-5.0,93.3,118.2,121.3,133.8,24.0,37.0,29.0,41.0,-5.0,-4.0,24.0,37.0,29.0,41.0,-5.0,-4.0,,22422478712
401812082,111,2026-02-27T00:00Z,away,,,,,,,,,,,27.0,37.5,34.0,42.0,-7.0,-4.5,27.0,37.5,34.0,42.0,-7.0,-4.5,,22422478712
401859836,112358,2026-02-17T00:00Z,home,37.0,46.0,31.0,34.0,6.0,12.0,116.1,144.4,97.3,106.7,,,,,,,,,,,,,,22422478712
401812376,112358,2026-02-20T00:00Z,away,43.0,48.0,38.0,51.0,5.0,-3.0,113.6,126.8,100.4,134.8,37.0,46.0,31.0,34.0,6.0,12.0,37.0,46.0,31.0,34.0,6.0,12.0,,22422478712
401812377,112358,2026-02-21T19:00Z,away,45.0,38.0,45.0,46.0,0.0,-8.0,130.8,110.5,130.8,133.7,40.0,47.0,34.5,42.5,5.5,4.5,40.0,47.0,34.5,42.5,5.5,4.5,,22422478712
401812378,112358,2026-02-27T00:00Z,home,,,,,,,,,,,41.67,44.0,38.0,43.67,3.67,0.33,41.67,44.0,38.0,43.67,3.67,0.33,0.333,22422478712
401814572,113,2026-02-18T00:00Z,home,36.0,41.0,41.0,45.0,-5.0,-4.0,102.8,117.1,117.1,128.5,,,,,,,,,,,,,,22422478712
401814576,113,2026-02-21T23:00Z,home,34.0,34.0,29.0,39.0,5.0,-5.0,96.2,96.2,82.1,110.4,36.0,41.0,41.0,45.0,-5.0,-4.0,36.0,41.0,41.0,45.0,-5.0,-4.0,,22422478712
401814582,113,2026-02-25T00:00Z,away,34.0,27.0,21.0,40.0,13.0,-13.0,94.4,75.0,58.3,111.0,35.0,37.5,35.0,42.0,0.0,-4.5,35.0,37.5,35.0,42.0,0.0,-4.5,,22422478712
401813393,116,2026-02-21T00:00Z,home,31.0,45.0,31.0,32.0,0.0,13.0,89.8,130.4,89.8,92.7,,,,,,,,,,,,,,22422478712
401813370,116,2026-02-22T19:00Z,home,20.0,48.0,24.0,23.0,-4.0,25.0,63.3,152.0,76.0,72.8,31.0,45.0,31.0,32.0,0.0,13.0,31.0,45.0,31.0,32.0,0.0,13.0,,22422478712
