team_id,team,conference,wins,losses,home_wins,home_losses,away_wins,away_losses,neutral_wins,q1_wins,q1_losses,q2_wins,q2_losses,road_wins,q1_win_pct,wab,resume_score,updated_at,sos_rank
2,Auburn Tigers,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.15,69.9,2026-03-05T04:55:18Z,156
5,UAB Blazers,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.12,63.6,2026-03-05T04:55:18Z,243
6,South Alabama Jaguars,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.07,72.0,2026-03-05T04:55:18Z,240
8,Arkansas Razorbacks,Southeastern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.53,82.3,2026-03-05T04:55:18Z,51
9,Arizona State Sun Devils,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.84,75.8,2026-03-05T04:55:18Z,62
12,Arizona Wildcats,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.65,96.8,2026-03-05T04:55:18Z,7
13,Cal Poly Mustangs,Big West Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14,63.3,2026-03-05T04:55:18Z,101
16,Sacramento State Hornets,Big Sky Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.63,39.3,2026-03-05T04:55:18Z,262
21,San Diego State Aztecs,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.69,68.6,2026-03-05T04:55:18Z,104
23,San José State Spartans,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.12,58.4,2026-03-05T04:55:18Z,251
24,Stanford Cardinal,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.84,62.5,2026-03-05T04:55:18Z,263
25,California Golden Bears,Atlantic Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.18,61.4,2026-03-05T04:55:18Z,297
26,UCLA Bruins,Big Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.65,69.2,2026-03-05T04:55:18Z,18
