event_id,team_id,game_datetime_utc,points_for_l10,points_against_l10,margin_l10,margin_capped_l10,efg_pct_l10,ts_pct_l10,three_par_l10,ftr_l10,fg_pct_l10,three_pct_l10,ft_pct_l10,orb_pct_l10,drb_pct_l10,tov_pct_l10,ortg_l10,drtg_l10,net_rtg_l10,poss_l10,pace_l10,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,win_l10,cover_l10,cover_margin_l10,stl_l10,blk_l10,ast_l10,efg_std_l10,three_pct_std_l10,net_rtg_std_l10,cover_rate_l10,ats_margin_l10,ha_ortg_l10,ha_drtg_l10,ha_net_rtg_l10,ha_efg_pct_l10,ha_tov_pct_l10,ha_pace_l10,pipeline_run_id
401826742,1,2025-12-12T02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22452179870
401830740,101,2025-12-03T00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22452179870
401829344,101,2025-12-14T19:00Z,57.0,99.0,-42.0,-15.0,43.4,44.5,41.0,11.5,36.1,36.0,57.1,13.0,87.0,19.7,74.9,130.1,-55.2,76.1,76.1,22.0,35.0,52.0,47.0,-30.0,-12.0,0.0,,,9.0,3.0,13.0,,,,,,,,,,,,22452179870
401809311,103,2025-11-21T20:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22452179870
401831228,103,2025-11-23T23:30Z,49.0,59.0,-10.0,-10.0,41.8,44.4,42.9,28.6,38.8,14.3,57.1,33.3,66.7,24.5,85.7,103.2,-17.5,57.2,57.2,31.0,18.0,33.0,26.0,-2.0,-8.0,0.0,,,3.0,3.0,9.0,,,,,,,,,,,,22452179870
401812606,103,2025-11-26T21:00Z,69.5,76.0,-6.5,-6.5,45.5,50.75,42.9,42.85,40.05,25.65,67.45,31.5,68.5,18.65,100.65,111.35,-10.7,67.5,67.5,35.5,30.5,36.0,35.0,-0.5,-4.5,0.0,,,3.0,3.5,10.0,,,,,,,,,,,,22452179870
401806378,103,2025-12-04T00:15Z,70.67,70.67,0.0,0.0,48.4,53.03,45.53,34.2,41.4,30.43,74.97,27.87,72.13,16.1,105.47,105.77,-0.3,66.13,66.13,36.33,32.0,34.0,33.33,2.33,-1.33,0.33,,,2.67,4.33,11.33,6.24,14.05,19.25,,,105.47,105.77,-0.3,48.4,16.1,66.13,22452179870
401817215,103,2025-12-06T17:00Z,70.25,72.5,-2.25,-2.25,47.4,51.88,43.82,34.12,40.33,32.2,72.9,27.78,72.22,16.8,102.32,105.6,-3.27,68.15,68.15,33.75,32.75,34.75,31.0,-1.0,1.75,0.25,,,2.75,4.5,11.0,5.47,12.01,16.81,,,102.32,105.6,-3.27,47.4,16.8,68.15,22452179870
401817216,103,2025-12-11T00:00Z,69.6,70.6,-1.0,-1.0,48.34,53.02,45.48,36.88,40.6,33.76,73.1,28.7,71.3,18.26,103.44,104.76,-1.32,66.94,66.94,31.6,35.0,34.4,30.8,-2.8,4.2,0.4,,,2.8,4.4,10.0,5.18,10.97,15.2,,,103.44,104.76,-1.32,48.34,18.26,66.94,22452179870
401812313,103,2025-12-23T00:00Z,70.33,71.5,-1.17,-1.17,47.03,52.58,44.52,40.78,40.15,30.3,73.77,30.4,69.6,17.42,104.23,105.82,-1.58,67.18,67.18,31.83,36.0,34.5,32.5,-2.67,3.5,0.33,,,3.67,4.83,10.33,5.63,12.96,13.61,,,104.23,105.82,-1.58,47.03,17.42,67.18,22452179870
401817217,103,2025-12-28T19:00Z,70.57,70.0,0.57,0.57,47.84,52.86,45.94,41.46,40.64,30.73,71.23,30.81,69.19,16.63,106.77,105.47,1.3,66.01,66.01,30.86,37.57,34.29,31.86,-3.43,5.71,0.43,,,3.43,4.71,10.29,5.57,11.89,14.58,,,106.77,105.47,1.3,47.84,16.63,66.01,22452179870
401820645,103,2026-01-03T19:10Z,70.75,69.25,1.5,1.5,47.8,52.66,44.99,41.06,40.56,31.78,70.47,30.31,69.69,16.51,106.26,103.7,2.56,66.53,66.53,30.75,38.12,33.62,32.25,-2.88,5.88,0.5,,,4.0,4.88,11.0,5.16,11.4,13.96,,,,,,,,,22452179870
401820651,103,2026-01-07T02:00Z,68.78,68.78,0.0,0.0,45.86,50.74,44.87,39.87,39.09,29.78,69.87,31.52,68.48,16.24,102.78,102.38,0.4,67.0,67.0,30.0,37.11,32.89,32.89,-2.89,4.22,0.44,,,4.11,4.78,10.44,7.57,12.23,14.58,,,106.26,103.7,2.56,47.8,16.51,66.53,22452179870
401820659,103,2026-01-10T17:00Z,69.0,69.8,-0.8,-0.8,47.38,52.16,44.38,40.77,40.29,31.8,70.15,31.4,68.6,17.26,104.2,105.16,-0.96,66.37,66.37,30.2,37.3,33.6,33.5,-3.4,3.8,0.4,,,3.9,4.6,10.5,8.61,13.18,14.41,,,,,,,,,22452179870
