venue_name,city,state,lat,lon
Dean E. Smith Center,Chapel Hill,NC,35.9049,-79.0469
Cameron Indoor Stadium,Durham,NC,36.0015,-78.9434
Rupp Arena,Lexington,KY,38.0506,-84.4946
Allen Fieldhouse,Lawrence,KS,38.9543,-95.2528
Pauley Pavilion,Los Angeles,CA,34.0714,-118.4453
Maples Pavilion,Stanford,CA,37.4346,-122.1609
Kohl Center,Madison,WI,43.0708,-89.4184
Breslin Student Events Center,East Lansing,MI,42.7297,-84.4833
Crisler Center,Ann Arbor,MI,42.2791,-83.7480
Assembly Hall,Bloomington,IN,39.1709,-86.5174
Value City Arena,Columbus,OH,39.9956,-83.0098
Mackey Arena,West Lafayette,IN,40.4270,-86.9183
Carver-Hawkeye Arena,Iowa City,IA,41.6604,-91.5585
Bankers Life Fieldhouse,Indianapolis,IN,39.7638,-86.1556
Conseco Fieldhouse,Indianapolis,IN,39.7638,-86.1556
Gainbridge Fieldhouse,Indianapolis,IN,39.7638,-86.1556
Scottrade Center,St. Louis,MO,38.6270,-90.2026
Enterprise Center,St. Louis,MO,38.6270,-90.2026
Sprint Center,Kansas City,MO,39.0997,-94.5783
T-Mobile Center,Kansas City,MO,39.0997,-94.5783
Phog Allen Fieldhouse,Lawrence,KS,38.9543,-95.2528
Lloyd Noble Center,Norman,OK,35.2058,-97.4425
Gallagher-Iba Arena,Stillwater,OK,36.1193,-97.0681
Big 12 Arena at T-Mobile Center,Kansas City,MO,39.0997,-94.5783
WVU Coliseum,Morgantown,WV,39.6338,-79.9556
Bob Devaney Sports Center,Lincoln,NE,40.8206,-96.7045
Pinnacle Bank Arena,Lincoln,NE,40.8206,-96.7045
Devaney Center,Lincoln,NE,40.8206,-96.7045
Thompson-Boling Arena,Knoxville,TN,35.9561,-83.9255
Bridgestone Arena,Nashville,TN,36.1592,-86.7785
Humphrey Coliseum,Starkville,MS,33.4663,-88.7993
Coleman Coliseum,Tuscaloosa,AL,33.2081,-87.5455
Neville Arena,Auburn,AL,32.6042,-85.4900
Auburn Arena,Auburn,AL,32.6042,-85.4900
Stegeman Coliseum,Athens,GA,33.9463,-83.3754
KFC Yum! Center,Louisville,KY,38.2545,-85.7521
Simon Skjodt Assembly Hall,Bloomington,IN,39.1709,-86.5174
American Airlines Center,Dallas,TX,32.7905,-96.8103
AT&T Center,San Antonio,TX,29.4271,-98.4375
Toyota Center,Houston,TX,29.7518,-95.3621
Fertitta Center,Houston,TX,29.7266,-95.3413
Frank Erwin Center,Austin,TX,30.2756,-97.7485
Gregory Gym,Austin,TX,30.2849,-97.7330
Tucker Center,Gainesville,FL,29.6475,-82.3498
Stephen C. O'Connell Center,Gainesville,FL,29.6475,-82.3498
Joel Coliseum,Winston-Salem,NC,36.1314,-80.3061
Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,36.1314,-80.3061
PNC Arena,Raleigh,NC,35.8034,-78.7220
Spectrum Center,Charlotte,NC,35.2251,-80.8393
Barclays Center,Brooklyn,NY,40.6826,-73.9754
Madison Square Garden,New York,NY,40.7505,-73.9934
Nassau Coliseum,Uniondale,NY,40.7227,-73.5908
Mohegan Sun Arena,Uncasville,CT,41.4754,-72.0930
Allstate Arena,Rosemont,IL,41.9822,-87.8784
United Center,Chicago,IL,41.8807,-87.6742
Xcel Energy Center,St. Paul,MN,44.9447,-93.1011
Target Center,Minneapolis,MN,44.9794,-93.2761
Williams Arena,Minneapolis,MN,44.9794,-93.2761
Mariucci Arena,Minneapolis,MN,44.9794,-93.2761
Pepsi Center,Denver,CO,39.7487,-105.0076
Ball Arena,Denver,CO,39.7487,-105.0076
Thomas & Mack Center,Las Vegas,NV,36.0983,-115.1808
T-Mobile Arena,Las Vegas,NV,36.1031,-115.1832
SAP Center,San Jose,CA,37.3331,-121.9010
Chase Center,San Francisco,CA,37.7682,-122.3877
Staples Center,Los Angeles,CA,34.0430,-118.2673
Crypto.com Arena,Los Angeles,CA,34.0430,-118.2673
Galen Center,Los Angeles,CA,34.0220,-118.2850
McKale Center,Tucson,AZ,32.2319,-110.9489
Desert Financial Arena,Tempe,AZ,33.4254,-111.9319
Wells Fargo Arena,Tempe,AZ,33.4254,-111.9319
Matthew Knight Arena,Eugene,OR,44.0487,-123.0735
Gill Coliseum,Corvallis,OR,44.5659,-123.2793
KeyArena,Seattle,WA,47.6222,-122.3543
Alaska Airlines Arena,Seattle,WA,47.6567,-122.3091
Hec Ed Pavilion,Seattle,WA,47.6567,-122.3091
Palouse Empire Coliseum,Pullman,WA,46.7298,-117.1817
Beasley Coliseum,Pullman,WA,46.7298,-117.1817
Gonzaga Pavilion,Spokane,WA,47.6670,-117.3978
McCarthey Athletic Center,Spokane,WA,47.6670,-117.3978
