game_date,game_id,away_team,away_abbr,home_team,home_abbr,tip_time_et,consensus_spread,consensus_total,consensus_ml_away,consensus_ml_home,open_spread,open_total,dk_spread,dk_total,fd_spread,fd_total,caesars_spread,betmgm_spread,away_score,home_score,game_status,scraped_at_utc
2025-11-03,773,Murray State,MURR,Nebraska Omaha,NEOM,18:30,5.0,154.0,-111.0,,3.5,147.5,5.5,154.5,4.5,153.5,5.5,4.5,85.0,77.0,Final,2026-03-12T06:16:19Z
2025-11-03,775,Northern Arizona,NAU,Drake,DRKE,21:15,-8.0,145.0,,-110.0,-8.0,147.0,-8.5,144.5,-8.5,144.5,-8.5,-8.5,71.0,77.0,Final,2026-03-12T06:16:19Z
2025-11-03,777,Southern Miss,USM,Buffalo,BUFF,23:30,-3.5,153.5,,-103.0,1.5,153.5,-3.5,153.5,-3.5,153.5,-3.5,-3.5,79.0,85.0,Final,2026-03-12T06:16:19Z
2025-11-03,779,Georgia State,GSU,Eastern Michigan,EMU,23:30,-3.0,150.0,-113.0,-114.0,-3.0,153.0,-2.5,149.5,-2.5,149.5,-3.0,-3.5,49.0,71.0,Final,2026-03-12T06:16:19Z
2025-11-03,781,Quinnipiac,QUIN,St. John's,SJU,23:30,-26.5,156.5,,-103.0,-24.0,158.5,-25.5,156.5,-26.5,156.5,-26.0,-26.5,74.0,108.0,Final,2026-03-12T06:16:19Z
2025-11-03,783,South Alabama,USA,Toledo,TOL,00:00,-2.5,151.0,-111.0,-112.0,-4.0,151.5,-1.5,150.5,-2.5,151.5,-2.5,-2.5,76.0,74.0,Final,2026-03-12T06:16:19Z
2025-11-03,785,IU Indianapolis,,Ohio State,OSU,23:30,-34.0,172.0,-112.0,-113.0,-29.5,160.0,-33.5,172.5,-34.5,172.5,-33.5,-34.5,102.0,118.0,Final,2026-03-12T06:16:19Z
2025-11-03,787,Canisius,CAN,Dayton,DAY,00:00,-25.5,142.0,,-114.0,-22.0,143.0,-25.5,142.5,-25.5,142.5,-25.5,-25.5,48.0,88.0,Final,2026-03-12T06:16:19Z
2025-11-03,789,Texas State,TXST,Bowling Green,BGSU,00:00,-5.0,146.0,-118.0,-110.0,-3.0,142.5,-5.5,146.5,-4.5,146.5,-5.0,-5.5,48.0,83.0,Final,2026-03-12T06:16:19Z
2025-11-03,791,Mercer,MER,Tennessee,TENN,00:00,-28.0,143.5,-111.0,-112.0,-25.0,142.0,-27.5,143.5,-27.5,144.5,-28.0,-28.5,61.0,76.0,Final,2026-03-12T06:16:19Z
2025-11-03,793,Niagara,NIAG,Duquesne,DUQ,00:00,-17.0,139.0,-118.0,-110.0,-14.0,139.0,-17.5,139.5,-18.5,141.5,-17.0,-16.5,63.0,83.0,Final,2026-03-12T06:16:19Z
2025-11-03,795,Marshall,MRSH,Massachusetts,MASS,00:00,-4.5,152.0,,-112.0,-4.5,149.0,-4.5,152.5,-4.5,152.5,-4.5,-4.5,78.0,72.0,Final,2026-03-12T06:16:19Z
2025-11-03,797,UL Lafayette,ULL,Ball State,BALL,00:00,-3.5,141.5,,-116.0,-1.0,146.5,-3.5,141.5,-3.5,142.5,-3.5,-4.5,64.0,75.0,Final,2026-03-12T06:16:19Z
2025-11-03,799,Troy,TROY,Kent State,KENT,00:00,-3.5,142.5,,-114.0,-3.5,143.0,-4.5,142.5,-3.5,142.5,-3.5,-4.5,103.0,97.0,Final,2026-03-12T06:16:19Z
2025-11-03,801,Arkansas State,ARST,Ohio,OHIO,00:00,-3.5,159.0,-116.0,-110.0,-4.0,156.0,-4.5,158.5,-3.5,159.5,-3.5,-3.5,89.0,85.0,Final,2026-03-12T06:16:19Z
2025-11-03,805,Rider,RID,Virginia,UVA,00:00,-26.5,148.0,-116.0,-112.0,-23.5,143.5,-26.5,148.5,-26.5,147.5,-26.5,-26.5,53.0,87.0,Final,2026-03-12T06:16:19Z
2025-11-03,807,James Madison,JMU,Akron,AKR,00:00,-8.5,153.5,-116.0,-110.0,-6.0,155.5,-8.5,153.5,-7.5,153.5,-8.5,-8.5,71.0,85.0,Final,2026-03-12T06:16:19Z
2025-11-03,809,Old Dominion,ODU,Miami Ohio,M-OH,00:00,-7.5,150.5,-113.0,-112.0,-5.5,147.0,-7.5,151.5,-7.5,,-7.5,-7.5,72.0,87.0,Final,2026-03-12T06:16:19Z
2025-11-03,811,Fairfield,FAIR,Penn State,PSU,00:00,-15.5,150.5,-111.0,-113.0,-14.5,148.5,-15.5,151.5,-16.5,151.5,-15.5,-15.5,68.0,76.0,Final,2026-03-12T06:16:19Z
2025-11-03,813,Boston College,BC,Florida Atlantic,FAU,00:00,-2.0,149.0,,-108.0,1.5,149.5,-2.5,148.5,-1.5,148.5,-2.5,-2.5,78.0,83.0,Final,2026-03-12T06:16:19Z
