event_id,game_id,home_team,away_team,home_team_id,away_team_id,home_is_d1,away_is_d1,filter_reason
401811103,401811103,South Dakota Coyotes,Ozark Christian Ambassadors,233,127162,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401812574,401812574,American University Eagles,Pennsylvania Quakers,44,219,True,True,KEEP_D1_VS_D1
401812600,401812600,Harvard Crimson,New Hampshire Wildcats,108,160,True,True,KEEP_D1_VS_D1
401813254,401813254,Illinois State Redbirds,Cornell Big Red,2287,172,True,True,KEEP_D1_VS_D1
401813287,401813287,Oklahoma State Cowboys,Texas A&M Aggies,197,245,True,True,KEEP_D1_VS_D1
401813320,401813320,Dartmouth Big Green,Marist Red Foxes,159,2368,True,True,KEEP_D1_VS_D1
401818548,401818548,Brown Bears,Vermont Catamounts,225,261,True,True,KEEP_D1_VS_D1
401819814,401819814,Arizona State Sun Devils,Utah Tech Trailblazers,9,3101,True,True,KEEP_D1_VS_D1
401819824,401819824,Baylor Bears,Washington Huskies,239,264,True,True,KEEP_D1_VS_D1
401819916,401819916,West Virginia Mountaineers,Lehigh Mountain Hawks,277,2329,True,True,KEEP_D1_VS_D1
401820542,401820542,Northern Iowa Panthers,South Dakota State Jackrabbits,2460,2571,True,True,KEEP_D1_VS_D1
401822758,401822758,James Madison Dukes,Coppin State Eagles,256,2154,True,True,KEEP_D1_VS_D1
401823022,401823022,Marquette Golden Eagles,Indiana Hoosiers,269,84,True,True,KEEP_D1_VS_D1
401823256,401823256,North Dakota Fighting Hawks,Cal State Northridge Matadors,155,2463,True,True,KEEP_D1_VS_D1
401823393,401823393,Purdue Fort Wayne Mastodons,Dominican (IL) Dominican,2870,2936,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823417,401823417,Bowling Green Falcons,Le Moyne Dolphins,189,2330,True,True,KEEP_D1_VS_D1
401823485,401823485,Mercer Bears,Lipscomb Bisons,2382,288,True,True,KEEP_D1_VS_D1
401823515,401823515,Missouri Tigers,VMI Keydets,142,2678,True,True,KEEP_D1_VS_D1
401823555,401823555,San Diego State Aztecs,Idaho State Bengals,21,304,True,True,KEEP_D1_VS_D1
401823808,401823808,Colorado State Rams,Omaha Mavericks,36,2437,True,True,KEEP_D1_VS_D1
401823858,401823858,USC Trojans,Manhattan Jaspers,30,2363,True,True,KEEP_D1_VS_D1
401824089,401824089,Portland Pilots,UC Davis Aggies,2501,302,True,True,KEEP_D1_VS_D1
401824896,401824896,Hawai'i Rainbow Warriors,East Texas A&M Lions,62,2837,True,True,KEEP_D1_VS_D1
401825577,401825577,Montana State Bobcats,Denver Pioneers,147,2172,True,True,KEEP_D1_VS_D1
401826732,401826732,App State Mountaineers,North Carolina Central Eagles,2026,2428,True,True,KEEP_D1_VS_D1
