team_id,event_id,_dup_count,game_datetime_utc,game_datetime_pst,venue,neutral_site,completed,state,is_ot,num_ot,home_team,away_team,home_team_id,away_team_id,home_conference,away_conference,home_rank,away_rank,spread,over_under,home_ml,away_ml,odds_provider,odds_details,team,conference,conf_id,home_away,rank,wins,losses,home_wins,home_losses,away_wins,away_losses,conf_wins,conf_losses,win_pct,opponent_id,opponent,opp_conference,opp_rank,opp_wins,opp_losses,points_for,points_against,margin,h1_pts,h2_pts,h1_pts_against,h2_pts_against,fgm,fga,tpm,tpa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_tov,opp_pf,FGA,FGM,FTA,FTM,TPA,TPM,ORB,DRB,RB,TO,AST,pulled_at_utc,source,parse_version,home_h1,away_h1,home_h2,away_h2,conference_name,pipeline_run_id,home_ot1,away_ot1,home_ot2,away_ot2,home_ot3,away_ot3,efg_pct,ts_pct,fg_pct,three_pct,ft_pct,three_par,ftr,orb_pct,drb_pct,poss,ortg,drtg,net_rtg,tov_pct,pace,h1_margin,h2_margin,h1_ortg,h2_ortg,h1_drtg,h2_drtg,dead_spread_flag,win,close_game_flag,blowout_flag,margin_capped,cover_margin,cover,ats_push,pythagorean_win_pct,record,home_win_pct,home_record,away_win_pct,away_record,conf_win_pct,conf_record,conf_rank,actual_win_pct_season,pyth_win_pct_season,luck_score,rest_days,games_l7,games_l14,fatigue_index,win_streak,cover_streak,points_for_l5,points_against_l5,margin_l5,margin_capped_l5,efg_pct_l5,ts_pct_l5,three_par_l5,ftr_l5,fg_pct_l5,three_pct_l5,ft_pct_l5,orb_pct_l5,drb_pct_l5,tov_pct_l5,ortg_l5,drtg_l5,net_rtg_l5,poss_l5,pace_l5,h1_pts_l5,h2_pts_l5,h1_pts_against_l5,h2_pts_against_l5,h1_margin_l5,h2_margin_l5,win_l5,cover_l5,cover_margin_l5,stl_l5,blk_l5,ast_l5,points_for_l10,points_against_l10,margin_l10,margin_capped_l10,efg_pct_l10,ts_pct_l10,three_par_l10,ftr_l10,fg_pct_l10,three_pct_l10,ft_pct_l10,orb_pct_l10,drb_pct_l10,tov_pct_l10,ortg_l10,drtg_l10,net_rtg_l10,poss_l10,pace_l10,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,win_l10,cover_l10,cover_margin_l10,stl_l10,blk_l10,ast_l10,efg_std_l10,three_pct_std_l10,net_rtg_std_l10,cover_rate_l10,cover_rate_season,ats_margin_l10,close_win_pct_season,close_game_win_pct,ha_ortg_l10,ha_drtg_l10,ha_net_rtg_l10,ha_efg_pct_l10,ha_tov_pct_l10,ha_pace_l10,home_net_rtg_season,away_net_rtg_season,true_orb_pct,true_drb_pct,_improved,_row_order,_is_final,_sort_pulled_at_utc,_sort_game_datetime_utc
1,401826742,2,2025-12-12 02:00:00+00:00,2025-12-11 06:00 PM PST,,False,True,post,False,0,Denver Pioneers,Alaska Anchorage Seawolves,2172,1,Summit League,,,,,,,,,,Alaska Anchorage Seawolves,,,away,,0,0,0,0,0,0,0,0,,2172,Denver Pioneers,,,,,61.0,97.0,-36.0,31.0,30.0,45.0,52.0,23.0,56.0,8.0,28.0,7.0,10.0,9.0,14.0,23.0,9.0,11.0,3.0,14.0,23.0,32.0,58.0,14.0,30.0,19.0,23.0,15.0,24.0,13.0,11.0,56.0,23.0,10.0,7.0,28.0,8.0,9.0,14.0,23.0,14.0,9.0,2026-03-01T21:46:34.848977+00:00,espn,v1.0.0,45.0,31.0,52.0,30.0,,,,,,,,,48.2,50.5,41.1,28.6,70.0,50.0,17.9,39.1,60.9,65.4,93.3,148.3,-55.0,21.4,65.4,-14.0,-22.0,94.8,91.7,137.6,159.0,0.0,0.0,0.0,1.0,-15.0,,,,0.005,0-0,,0-0,,0-0,,0-0,,,,,3.0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,48.3,0.0,0,1,2026-03-01 21:46:34.848977+00:00,2025-12-12 02:00:00+00:00
1,401826742,2,2025-12-12 02:00:00+00:00,2025-12-11 06:00 PM PST,,False,True,post,False,0,Denver Pioneers,Alaska Anchorage Seawolves,2172,1,Summit League,,,,,,,,,,Alaska Anchorage Seawolves,,,away,,0,0,0,0,0,0,0,0,,2172,Denver Pioneers,,,,,61.0,97.0,-36.0,31.0,30.0,45.0,52.0,23.0,56.0,8.0,28.0,7.0,10.0,9.0,14.0,23.0,9.0,11.0,3.0,14.0,23.0,32.0,58.0,14.0,30.0,19.0,23.0,15.0,24.0,13.0,11.0,56.0,23.0,10.0,7.0,28.0,8.0,9.0,14.0,23.0,14.0,9.0,2026-03-01T21:46:34.848977+00:00,espn,v1.0.0,45.0,31.0,52.0,30.0,,,,,,,,,48.2,50.5,41.1,28.6,70.0,50.0,17.9,39.1,60.9,65.4,93.3,148.3,-55.0,21.4,65.4,-14.0,-22.0,94.8,91.7,137.6,159.0,0.0,0.0,0.0,1.0,-15.0,,,,0.005,0-0,,0-0,,0-0,,0-0,,,,,3.0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,48.3,0.0,10796,1,2026-03-01 21:46:34.848977+00:00,2025-12-12 02:00:00+00:00
101,401829344,2,2025-12-14 19:00:00+00:00,2025-12-14 11:00 AM PST,,False,True,post,False,0,SIU Edwardsville Cougars,Eureka Red Devils,2565,101,Ohio Valley Conference,,,,,,,,,,Eureka Red Devils,,,away,,0,1,0,0,0,1,0,0,0.0,2565,SIU Edwardsville Cougars,,,,,54.0,97.0,-43.0,19.0,35.0,42.0,55.0,17.0,49.0,5.0,18.0,15.0,18.0,5.0,26.0,31.0,9.0,5.0,2.0,24.0,11.0,39.0,76.0,11.0,34.0,8.0,13.0,14.0,28.0,9.0,15.0,49.0,17.0,18.0,15.0,18.0,5.0,5.0,26.0,31.0,24.0,9.0,2026-03-01T21:47:28.133401+00:00,espn,v1.0.0,42.0,19.0,55.0,35.0,,,,,,,,,39.8,47.4,34.7,27.8,83.3,36.7,36.7,16.1,83.9,75.9,71.1,127.8,-56.7,31.6,75.9,-23.0,-20.0,50.1,92.2,110.6,144.9,0.0,0.0,0.0,1.0,-15.0,,,,0.001,0-1,,0-0,0.0,0-1,,0-0,,,,,11.0,0,1,0.0,-1,0,57.0,99.0,-42.0,-15.0,43.4,44.5,41.0,11.5,36.1,36.0,57.1,13.0,87.0,19.7,74.9,130.1,-55.2,76.1,76.1,22.0,35.0,52.0,47.0,-30.0,-12.0,0.0,,,9.0,3.0,13.0,57.0,99.0,-42.0,-15.0,43.4,44.5,41.0,11.5,36.1,36.0,57.1,13.0,87.0,19.7,74.9,130.1,-55.2,76.1,76.1,22.0,35.0,52.0,47.0,-30.0,-12.0,0.0,,,9.0,3.0,13.0,,,,,,,,,,,,,,,,,15.2,65.0,1.0,2,1,2026-03-01 21:47:28.133401+00:00,2025-12-14 19:00:00+00:00
101,401829344,2,2025-12-14 19:00:00+00:00,2025-12-14 11:00 AM PST,,False,True,post,False,0,SIU Edwardsville Cougars,Eureka Red Devils,2565,101,Ohio Valley Conference,,,,,,,,,,Eureka Red Devils,,,away,,0,1,0,0,0,1,0,0,0.0,2565,SIU Edwardsville Cougars,,,,,54.0,97.0,-43.0,19.0,35.0,42.0,55.0,17.0,49.0,5.0,18.0,15.0,18.0,5.0,26.0,31.0,9.0,5.0,2.0,24.0,11.0,39.0,76.0,11.0,34.0,8.0,13.0,14.0,28.0,9.0,15.0,49.0,17.0,18.0,15.0,18.0,5.0,5.0,26.0,31.0,24.0,9.0,2026-03-01T21:47:28.133401+00:00,espn,v1.0.0,42.0,19.0,55.0,35.0,,,,,,,,,39.8,47.4,34.7,27.8,83.3,36.7,36.7,16.1,83.9,75.9,71.1,127.8,-56.7,31.6,75.9,-23.0,-20.0,50.1,92.2,110.6,144.9,0.0,0.0,0.0,1.0,-15.0,,,,0.001,0-1,,0-0,0.0,0-1,,0-0,,,,,11.0,0,1,0.0,-1,0,57.0,99.0,-42.0,-15.0,43.4,44.5,41.0,11.5,36.1,36.0,57.1,13.0,87.0,19.7,74.9,130.1,-55.2,76.1,76.1,22.0,35.0,52.0,47.0,-30.0,-12.0,0.0,,,9.0,3.0,13.0,57.0,99.0,-42.0,-15.0,43.4,44.5,41.0,11.5,36.1,36.0,57.1,13.0,87.0,19.7,74.9,130.1,-55.2,76.1,76.1,22.0,35.0,52.0,47.0,-30.0,-12.0,0.0,,,9.0,3.0,13.0,,,,,,,,,,,,,,,,,15.2,65.0,1.0,10798,1,2026-03-01 21:47:28.133401+00:00,2025-12-14 19:00:00+00:00
101,401830740,2,2025-12-03 00:00:00+00:00,2025-12-02 04:00 PM PST,,False,True,post,False,0,Indiana State Sycamores,Eureka Red Devils,282,101,Missouri Valley Conference,,,,,,,,,,Eureka Red Devils,,,away,,0,0,0,0,0,0,0,0,,282,Indiana State Sycamores,,,,,57.0,99.0,-42.0,22.0,35.0,52.0,47.0,22.0,61.0,9.0,25.0,4.0,7.0,3.0,20.0,23.0,13.0,9.0,3.0,15.0,11.0,38.0,66.0,14.0,32.0,9.0,16.0,11.0,39.0,15.0,13.0,61.0,22.0,7.0,4.0,25.0,9.0,3.0,20.0,23.0,15.0,13.0,2026-03-01T21:44:25.738391+00:00,espn,v1.0.0,52.0,22.0,47.0,35.0,,,,,,,,,43.4,44.5,36.1,36.0,57.1,41.0,11.5,13.0,87.0,76.1,74.9,130.1,-55.2,19.7,76.1,-30.0,-12.0,57.8,92.0,136.7,123.6,0.0,0.0,0.0,1.0,-15.0,,,,0.002,0-0,,0-0,,0-0,,0-0,,,,,3.0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,64.5,1.0,1,1,2026-03-01 21:44:25.738391+00:00,2025-12-03 00:00:00+00:00
101,401830740,2,2025-12-03 00:00:00+00:00,2025-12-02 04:00 PM PST,,False,True,post,False,0,Indiana State Sycamores,Eureka Red Devils,282,101,Missouri Valley Conference,,,,,,,,,,Eureka Red Devils,,,away,,0,0,0,0,0,0,0,0,,282,Indiana State Sycamores,,,,,57.0,99.0,-42.0,22.0,35.0,52.0,47.0,22.0,61.0,9.0,25.0,4.0,7.0,3.0,20.0,23.0,13.0,9.0,3.0,15.0,11.0,38.0,66.0,14.0,32.0,9.0,16.0,11.0,39.0,15.0,13.0,61.0,22.0,7.0,4.0,25.0,9.0,3.0,20.0,23.0,15.0,13.0,2026-03-01T21:44:25.738391+00:00,espn,v1.0.0,52.0,22.0,47.0,35.0,,,,,,,,,43.4,44.5,36.1,36.0,57.1,41.0,11.5,13.0,87.0,76.1,74.9,130.1,-55.2,19.7,76.1,-30.0,-12.0,57.8,92.0,136.7,123.6,0.0,0.0,0.0,1.0,-15.0,,,,0.002,0-0,,0-0,,0-0,,0-0,,,,,3.0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,64.5,1.0,10797,1,2026-03-01 21:44:25.738391+00:00,2025-12-03 00:00:00+00:00
103,401806378,2,2025-12-04 00:15:00+00:00,2025-12-03 04:15 PM PST,,False,True,post,False,0,Boston College Eagles,LSU Tigers,103,99,Atlantic Coast Conference,Southeastern Conference,,,,,,,,,Boston College Eagles,Atlantic Coast Conference,,home,,3,3,2,3,1,0,0,0,0.5,99,LSU Tigers,,,,,69.0,78.0,-9.0,26.0,35.0,37.0,24.0,23.0,62.0,9.0,24.0,14.0,21.0,11.0,29.0,40.0,10.0,3.0,5.0,14.0,20.0,29.0,72.0,3.0,19.0,17.0,20.0,15.0,31.0,10.0,17.0,62.0,23.0,21.0,14.0,24.0,9.0,11.0,29.0,40.0,14.0,10.0,2026-03-01T21:44:28.337022+00:00,espn,v1.0.0,26.0,37.0,35.0,24.0,,,,,,,,,44.4,48.4,37.1,37.5,66.7,38.7,33.9,27.5,72.5,74.2,92.9,105.1,-12.2,18.9,74.2,-11.0,11.0,70.0,94.3,99.7,64.7,0.0,0.0,0.0,0.0,-9.0,,,,0.196,3-3,0.4,2-3,1.0,1-0,,0-0,3,0.5,0.576,-0.076,7.0,0,3,0.0,1,0,70.2,67.0,3.2,3.2,47.8,52.0,45.14,32.14,41.48,27.88,72.22,28.54,71.46,15.18,105.5,100.76,4.74,65.96,65.96,36.4,32.4,31.8,33.2,4.6,-0.8,0.6,,,3.4,5.8,12.2,68.33,65.83,2.5,2.5,46.18,50.27,46.07,29.02,40.03,26.67,75.0,30.03,69.97,15.18,102.82,99.13,3.68,65.97,65.97,35.33,31.83,30.83,33.33,4.5,-1.5,0.5,,,4.0,5.83,12.17,5.97,10.48,14.25,,,,0.5,0.333,101.04,98.08,2.96,45.42,15.86,65.56,2.96,,26.2,65.9,1.0,9,1,2026-03-01 21:44:28.337022+00:00,2025-12-04 00:15:00+00:00
103,401806378,2,2025-12-04 00:15:00+00:00,2025-12-03 04:15 PM PST,,False,True,post,False,0,Boston College Eagles,LSU Tigers,103,99,Atlantic Coast Conference,Southeastern Conference,,,,,,,,,Boston College Eagles,Atlantic Coast Conference,,home,,3,3,2,3,1,0,0,0,0.5,99,LSU Tigers,,,,,69.0,78.0,-9.0,26.0,35.0,37.0,24.0,23.0,62.0,9.0,24.0,14.0,21.0,11.0,29.0,40.0,10.0,3.0,5.0,14.0,20.0,29.0,72.0,3.0,19.0,17.0,20.0,15.0,31.0,10.0,17.0,62.0,23.0,21.0,14.0,24.0,9.0,11.0,29.0,40.0,14.0,10.0,2026-03-01T21:44:28.337022+00:00,espn,v1.0.0,26.0,37.0,35.0,24.0,,,,,,,,,44.4,48.4,37.1,37.5,66.7,38.7,33.9,27.5,72.5,74.2,92.9,105.1,-12.2,18.9,74.2,-11.0,11.0,70.0,94.3,99.7,64.7,0.0,0.0,0.0,0.0,-9.0,,,,0.196,3-3,0.4,2-3,1.0,1-0,,0-0,3,0.5,0.576,-0.076,7.0,0,3,0.0,1,0,70.2,67.0,3.2,3.2,47.8,52.0,45.14,32.14,41.48,27.88,72.22,28.54,71.46,15.18,105.5,100.76,4.74,65.96,65.96,36.4,32.4,31.8,33.2,4.6,-0.8,0.6,,,3.4,5.8,12.2,68.33,65.83,2.5,2.5,46.18,50.27,46.07,29.02,40.03,26.67,75.0,30.03,69.97,15.18,102.82,99.13,3.68,65.97,65.97,35.33,31.83,30.83,33.33,4.5,-1.5,0.5,,,4.0,5.83,12.17,5.97,10.48,14.25,,,,0.5,0.333,101.04,98.08,2.96,45.42,15.86,65.56,2.96,,26.2,65.9,1.0,10805,1,2026-03-01 21:44:28.337022+00:00,2025-12-04 00:15:00+00:00
103,401809311,2,2025-11-21 20:30:00+00:00,2025-11-21 12:30 PM PST,,True,True,post,False,0,Boston College Eagles,Davidson Wildcats,103,2166,Atlantic Coast Conference,Atlantic 10,,,,,,,,,Boston College Eagles,Atlantic Coast Conference,,home,,2,1,1,1,1,0,0,0,0.667,2166,Davidson Wildcats,,,,,49.0,59.0,-10.0,31.0,18.0,33.0,26.0,19.0,49.0,3.0,21.0,8.0,14.0,12.0,24.0,36.0,9.0,3.0,3.0,14.0,16.0,21.0,48.0,5.0,20.0,12.0,17.0,5.0,20.0,7.0,14.0,49.0,19.0,14.0,8.0,21.0,3.0,12.0,24.0,36.0,14.0,9.0,2026-03-01T21:40:43.476694+00:00,espn,v1.0.0,31.0,33.0,18.0,26.0,,,,,,,,,41.8,44.4,38.8,14.3,57.1,42.9,28.6,33.3,66.7,57.2,85.7,103.2,-17.5,24.5,57.2,-2.0,-8.0,108.5,63.0,115.5,91.0,0.0,0.0,0.0,0.0,-10.0,,,,0.106,2-1,0.5,1-1,1.0,1-0,,0-0,1,0.667,0.68,-0.013,2.0,2,3,0.0,2,0,66.0,61.0,5.0,5.0,43.97,47.5,46.6,23.83,38.67,22.9,75.03,32.2,67.8,14.27,100.17,92.5,7.67,65.8,65.8,34.33,31.67,27.67,33.33,6.67,-1.67,0.67,,,5.33,7.33,13.0,66.0,61.0,5.0,5.0,43.97,47.5,46.6,23.83,38.67,22.9,75.03,32.2,67.8,14.27,100.17,92.5,7.67,65.8,65.8,34.33,31.67,27.67,33.33,6.67,-1.67,0.67,,,5.33,7.33,13.0,5.95,5.9,9.46,,,,0.667,0.5,,,,,,,,,37.5,82.8,0.0,6,1,2026-03-01 21:40:43.476694+00:00,2025-11-21 20:30:00+00:00
103,401809311,2,2025-11-21 20:30:00+00:00,2025-11-21 12:30 PM PST,,True,True,post,False,0,Boston College Eagles,Davidson Wildcats,103,2166,Atlantic Coast Conference,Atlantic 10,,,,,,,,,Boston College Eagles,Atlantic Coast Conference,,home,,2,1,1,1,1,0,0,0,0.667,2166,Davidson Wildcats,,,,,49.0,59.0,-10.0,31.0,18.0,33.0,26.0,19.0,49.0,3.0,21.0,8.0,14.0,12.0,24.0,36.0,9.0,3.0,3.0,14.0,16.0,21.0,48.0,5.0,20.0,12.0,17.0,5.0,20.0,7.0,14.0,49.0,19.0,14.0,8.0,21.0,3.0,12.0,24.0,36.0,14.0,9.0,2026-03-01T21:40:43.476694+00:00,espn,v1.0.0,31.0,33.0,18.0,26.0,,,,,,,,,41.8,44.4,38.8,14.3,57.1,42.9,28.6,33.3,66.7,57.2,85.7,103.2,-17.5,24.5,57.2,-2.0,-8.0,108.5,63.0,115.5,91.0,0.0,0.0,0.0,0.0,-10.0,,,,0.106,2-1,0.5,1-1,1.0,1-0,,0-0,1,0.667,0.68,-0.013,2.0,2,3,0.0,2,0,66.0,61.0,5.0,5.0,43.97,47.5,46.6,23.83,38.67,22.9,75.03,32.2,67.8,14.27,100.17,92.5,7.67,65.8,65.8,34.33,31.67,27.67,33.33,6.67,-1.67,0.67,,,5.33,7.33,13.0,66.0,61.0,5.0,5.0,43.97,47.5,46.6,23.83,38.67,22.9,75.03,32.2,67.8,14.27,100.17,92.5,7.67,65.8,65.8,34.33,31.67,27.67,33.33,6.67,-1.67,0.67,,,5.33,7.33,13.0,5.95,5.9,9.46,,,,0.667,0.5,,,,,,,,,37.5,82.8,0.0,10802,1,2026-03-01 21:40:43.476694+00:00,2025-11-21 20:30:00+00:00
