rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at,conference_name
1,Belmont Bruins,2057,Ohio Valley Conference,1,2-0,2-0,0-0,141.6,126.4,-15.2,3.8,0.9998,0.02,1.0,1.0,0.0,-35.67,0-0,0-0,0-0,2-0,,-32.5,0.0,99.9,A+,22.1,85.3,0.0,61.6,100.0,,,,,129.6,153.6,→ FLAT,0.0,perimeter,100.0,0,0,0.0,75.0,48.5,50.0,100.0,0.0,0.0,50.0,100.0,86.7,,23.1,23.1,2026-02-25 16:39 PST,Ohio Valley Conference
2,UConn Huskies,41,Big 12,1,2-1,1-1,1-0,84.0,155.0,71.0,33.4,0.9999,1.57,1.0,0.667,0.0,13.9,1-0,1-0,0-0,0-0,1.0,24.0,0.0,96.6,A+,81.9,65.6,0.0,57.6,100.0,,,,74.0,72.0,96.0,→ FLAT,0.0,balanced,-50.0,0,0,0.0,60.0,51.0,4.2,23.5,76.5,16.0,36.0,44.4,75.0,,3.6,3.6,2026-02-25 16:39 PST,Big 12
3,Tennessee State Tigers,2634,Southland Conference,1,2-0,2-0,0-0,80.5,138.9,58.4,64.2,0.9999,0.14,0.991,1.0,0.0,-4.5,0-0,0-0,0-0,1-0,,-14.8,0.0,100.0,A+,45.2,95.2,0.0,74.4,100.0,,,,,68.5,92.5,→ FLAT,0.0,balanced,100.0,0,0,0.0,64.8,39.4,19.1,24.3,75.7,24.1,35.2,42.1,76.9,,27.4,27.4,2026-02-25 16:39 PST,Southland Conference
4,George Washington Revolutionaries,45,Big Ten,1,1-1,0-0,1-1,68.0,163.2,95.2,70.3,0.998,0.77,0.969,0.5,0.0,9.8,1-0,0-0,0-0,0-0,1.0,9.8,0.0,94.8,A+,72.4,84.5,0.0,37.6,100.0,,,,76.4,56.0,80.0,→ FLAT,0.0,interior,-50.0,0,0,0.0,75.9,41.0,17.9,20.6,79.4,34.5,37.9,45.5,80.0,,-21.1,-21.1,2026-02-25 16:39 PST,Big Ten
5,Davidson Wildcats,2166,Big Ten,2,2-1,1-0,1-1,60.8,124.8,64.0,35.7,0.9995,-0.11,0.999,0.667,0.0,-2.1,0-0,0-1,0-0,1-0,,-8.7,0.0,88.3,A+,51.3,70.9,0.0,52.0,100.0,,,,43.4,48.8,72.8,→ FLAT,0.0,balanced,50.0,0,0,0.0,51.9,46.7,8.2,35.3,64.7,11.1,51.9,28.6,100.0,0.5,-1.7,-1.7,2026-02-25 16:39 PST,Big Ten
6,North Dakota State Bison,2449,Big Ten,1,2-0,1-0,1-0,48.3,116.0,67.7,66.7,0.998,0.08,0.996,1.0,0.0,-11.4,0-0,0-0,0-0,1-0,,-19.9,0.0,90.1,A+,45.4,80.7,0.0,65.6,100.0,,,,45.6,36.3,60.3,→ FLAT,0.0,balanced,0.0,0,0,0.0,60.7,53.3,19.8,32.7,67.3,8.0,52.0,43.6,66.7,,30.0,30.0,2026-02-25 16:39 PST,Big Ten
7,Duke Blue Devils,150,Big East,1,3-0,2-0,1-0,44.9,128.8,83.9,70.2,0.9928,1.15,0.999,1.0,0.0,4.15,1-0,0-0,1-0,0-0,1.0,16.2,0.0,93.6,A+,74.0,71.2,0.0,76.0,100.0,,,,,32.9,56.9,→ FLAT,0.0,perimeter,0.0,0,0,0.0,55.9,55.4,12.7,28.6,71.4,64.4,55.9,36.4,89.5,,33.6,33.6,2026-02-25 16:39 PST,Big East
8,Utah Valley Wolverines,3084,Atlantic Sun Conference,1,2-0,1-0,1-0,43.0,126.2,83.2,67.5,0.9918,0.93,0.91,1.0,0.0,10.15,1-0,0-0,0-0,0-0,1.0,21.0,0.0,89.3,A+,78.9,51.4,0.0,80.0,100.0,,,,,31.0,55.0,→ FLAT,0.0,balanced,0.0,0,0,0.0,40.8,48.4,18.8,48.9,51.1,33.8,21.5,7.1,59.1,,24.4,24.4,2026-02-25 16:39 PST,Atlantic Sun Conference
9,Little Rock Trojans,2031,Southland Conference,2,1-1,1-1,0-0,41.8,124.8,83.0,65.1,0.9909,0.0,0.299,0.5,0.0,4.56,0-0,0-1,1-0,0-0,,-4.2,0.0,88.0,A+,53.6,77.1,0.0,56.0,100.0,,,,,29.8,53.8,→ FLAT,0.0,balanced,50.0,0,0,0.0,41.4,39.4,13.6,29.0,71.0,32.8,25.9,26.7,89.5,0.5,-2.1,-2.1,2026-02-25 16:39 PST,Southland Conference
10,Navy Midshipmen,2426,Independent,1,3-0,1-0,2-0,41.8,146.2,104.4,33.4,0.9796,1.11,0.998,1.0,0.0,2.98,1-0,0-0,0-0,1-0,1.0,14.9,0.0,92.3,A+,72.9,75.2,0.0,67.2,100.0,,,,89.9,29.8,53.8,→ FLAT,0.0,perimeter,-0.0,0,0,0.0,75.0,53.2,11.5,29.4,70.6,19.2,46.2,58.3,80.0,,32.2,32.2,2026-02-25 16:39 PST,Independent
