model_a,model_b,agreement_rate,disagreement_games,model_a_wins_when_split,model_b_wins_when_split,better_model_when_split,generated_at
M1,M2,1.0,0,,,,2026-02-28T08:36:28Z
M1,M3,1.0,0,,,,2026-02-28T08:36:28Z
M1,M4,1.0,0,,,,2026-02-28T08:36:28Z
M1,M5,1.0,0,,,,2026-02-28T08:36:28Z
M1,M6,1.0,0,,,,2026-02-28T08:36:28Z
M1,M7,1.0,0,,,,2026-02-28T08:36:28Z
M2,M3,1.0,0,,,,2026-02-28T08:36:28Z
M2,M4,1.0,0,,,,2026-02-28T08:36:28Z
M2,M5,1.0,0,,,,2026-02-28T08:36:28Z
M2,M6,1.0,0,,,,2026-02-28T08:36:28Z
M2,M7,1.0,0,,,,2026-02-28T08:36:28Z
M3,M4,1.0,0,,,,2026-02-28T08:36:28Z
M3,M5,1.0,0,,,,2026-02-28T08:36:28Z
M3,M6,1.0,0,,,,2026-02-28T08:36:28Z
M3,M7,1.0,0,,,,2026-02-28T08:36:28Z
M4,M5,1.0,0,,,,2026-02-28T08:36:28Z
M4,M6,1.0,0,,,,2026-02-28T08:36:28Z
M4,M7,1.0,0,,,,2026-02-28T08:36:28Z
M5,M6,1.0,0,,,,2026-02-28T08:36:28Z
M5,M7,1.0,0,,,,2026-02-28T08:36:28Z
M6,M7,1.0,0,,,,2026-02-28T08:36:28Z
