entity_type,entity_id,severity,reason_codes,details,created_at,row_count,created_at_utc,target_path,pipeline_run_id
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_produces_csv_when_predict0/data/results_log.csv,2026-02-25T22:53:01.882791+00:00,3.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_matches_when_latest_conta0/data/results_log.csv,2026-02-25T22:53:02.120048+00:00,2.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_handles_missing_spread_co0/data/results_log.csv,2026-02-25T22:53:02.321093+00:00,1.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=/tmp/pytest-of-jules/pytest-0/test_loads_all_completed_games0/data/results_log.csv,2026-02-25T22:53:02.491084+00:00,2.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread']; output_path=data/results_log.csv,2026-02-25T22:53:33.450747+00:00,26.0,,,
results_log,,error,missing_required_columns,missing=['predicted_spread'],,,2026-02-25T22:53:33.455611+00:00,data/results_log.csv,
model_accuracy_report,game_not_final;missing_final_score,warning,game_not_final;missing_final_score,"{""count"": 15}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_final_score,warning,missing_final_score,"{""count"": 7}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread,warning,missing_pred_spread,"{""count"": 257}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread;game_not_final;missing_final_score,warning,missing_pred_spread;game_not_final;missing_final_score,"{""count"": 12}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
model_accuracy_report,missing_pred_spread;missing_final_score,warning,missing_pred_spread;missing_final_score,"{""count"": 6}",2026-02-27T01:40:12.965607+00:00,,,,20260227_014011
