game_id,home_team,away_team,spread_line,total_line,ens_spread,ens_spread,ens_total,ens_total,mc_home_win_pct,home_last5_net,home_last10_net,away_last5_net,away_last10_net,generated_at,pipeline_run_id
401820771,Duke Blue Devils,Virginia Cavaliers,-10.5,141.5,-10.99,,159.5,,0.7998,37.6,30.37,21.22,17.58,2026-02-28T16:36:53Z,20260228_163653
401827711,Houston Cougars,Colorado Buffaloes,-19.5,139.5,-8.51,,144.2,,0.7306,-4.32,12.94,-7.1,-6.87,2026-02-28T16:36:53Z,20260228_163653
401822963,UConn Huskies,Seton Hall Pirates,-13.5,130.5,-14.37,,144.2,,0.851,16.7,18.98,2.1,1.2,2026-02-28T16:36:53Z,20260228_163653
401828453,Rhode Island Rams,Saint Joseph's Hawks,-3.5,141.5,4.28,,139.6,,0.3684,-11.75,-5.33,12.95,10.94,2026-02-28T16:36:53Z,20260228_163653
401825547,Penn State Nittany Lions,Iowa Hawkeyes,9.5,145.5,4.96,,139.3,,0.347,-16.33,-18.19,-4.75,3.09,2026-02-28T16:36:53Z,20260228_163653
401824377,American University Eagles,Boston University Terriers,-2.5,142.5,-0.52,,152.9,,0.5182,15.48,2.22,21.52,13.16,2026-02-28T16:36:53Z,20260228_163653
401820775,Notre Dame Fighting Irish,NC State Wolfpack,6.5,153.5,-0.92,,152.6,,0.5236,-14.95,-10.91,-14.2,2.83,2026-02-28T16:36:53Z,20260228_163653
401820772,Georgia Tech Yellow Jackets,Florida State Seminoles,6.5,160.5,8.28,,147.0,,0.2588,-25.7,-21.54,10.8,5.91,2026-02-28T16:36:53Z,20260228_163653
401820208,Holy Cross Crusaders,Loyola Maryland Greyhounds,-1.5,150.5,-0.25,,146.5,,0.5128,-7.35,-4.88,-11.78,-4.92,2026-02-28T16:36:53Z,20260228_163653
401828450,VCU Rams,Fordham Rams,-12.5,144.5,-8.62,,147.5,,0.7688,8.28,12.8,5.92,4.04,2026-02-28T16:36:53Z,20260228_163653
401826825,Lafayette Leopards,Army Black Knights,-3.5,143.5,-1.01,,135.5,,0.5374,-8.2,-7.61,-8.62,-9.16,2026-02-28T16:36:53Z,20260228_163653
401817689,Robert Morris Colonials,Cleveland State Vikings,-13.5,158.5,-11.61,,160.0,,0.8,25.28,13.67,-18.42,-8.83,2026-02-28T16:36:53Z,20260228_163653
401812418,Wagner Seahawks,Chicago State Cougars,-5.5,136.5,0.09,,133.7,,0.4984,-1.48,-2.47,-5.8,0.7,2026-02-28T16:36:53Z,20260228_163653
401812400,Central Connecticut Blue Devils,Saint Francis Red Flash,-8.5,156.5,-6.12,,144.8,,0.6768,-3.88,1.8,-10.62,-10.69,2026-02-28T16:36:53Z,20260228_163653
401812349,New Haven Chargers,Le Moyne Dolphins,1.5,135.5,-0.26,,138.6,,0.5008,4.25,1.67,9.9,-0.31,2026-02-28T16:36:53Z,20260228_163653
401812332,Long Island University Sharks,Fairleigh Dickinson Knights,-9.5,137.5,-9.81,,138.8,,0.7928,11.35,11.9,-11.58,-1.08,2026-02-28T16:36:53Z,20260228_163653
401812171,UMass Lowell River Hawks,UMBC Retrievers,1.5,147.5,0.54,,152.6,,0.4804,19.65,3.77,19.52,17.03,2026-02-28T16:36:53Z,20260228_163653
401808270,Mississippi State Bulldogs,Missouri Tigers,1.5,155.5,0.11,,158.0,,0.4948,-4.35,-9.81,-7.78,-3.01,2026-02-28T16:36:53Z,20260228_163653
401804951,Middle Tennessee Blue Raiders,New Mexico State Aggies,-5.5,146.5,-5.47,,151.7,,0.6744,4.95,-1.87,-2.9,-6.13,2026-02-28T16:36:53Z,20260228_163653
401822965,Xavier Musketeers,Georgetown Hoyas,-4.5,154.5,-1.61,,151.4,,0.5456,-3.58,-10.77,-10.8,-0.19,2026-02-28T16:36:53Z,20260228_163653
401820770,Clemson Tigers,Louisville Cardinals,1.5,146.5,-1.21,,153.6,,0.533,-14.27,1.73,5.55,7.88,2026-02-28T16:36:53Z,20260228_163653
401808268,Kentucky Wildcats,Vanderbilt Commodores,-1.5,155.5,2.78,,156.9,,0.4118,-3.15,0.78,5.92,13.23,2026-02-28T16:36:53Z,20260228_163653
401857754,IU Indianapolis Jaguars,Purdue Fort Wayne Mastodons,1.5,161.5,-0.17,,140.0,,0.505,-11.23,-9.78,-3.35,-10.29,2026-02-28T16:36:53Z,20260228_163653
401829400,Lehigh Mountain Hawks,Bucknell Bison,-5.5,140.5,-4.83,,139.2,,0.6558,-2.37,-2.4,-14.85,-11.3,2026-02-28T16:36:53Z,20260228_163653
401828451,George Mason Patriots,St. Bonaventure Bonnies,-4.5,145.5,4.79,,141.6,,0.3632,-25.75,-10.53,0.8,-4.27,2026-02-28T16:36:53Z,20260228_163653
401827710,Cincinnati Bearcats,Oklahoma State Cowboys,-9.5,150.5,-4.48,,152.9,,0.6136,13.1,3.38,-7.78,-9.49,2026-02-28T16:36:53Z,20260228_163653
401825546,Northwestern Wildcats,Oregon Ducks,-3.5,143.5,0.94,,136.7,,0.4704,-8.27,-12.07,2.63,-11.46,2026-02-28T16:36:53Z,20260228_163653
401825545,Minnesota Golden Gophers,UCLA Bruins,1.5,135.5,-0.67,,142.3,,0.5202,6.5,-1.98,-13.27,4.49,2026-02-28T16:36:53Z,20260228_163653
401823963,South Carolina Upstate Spartans,Gardner-Webb Runnin' Bulldogs,-12.5,152.5,-1.01,,142.2,,0.5318,-7.12,-7.07,-18.18,-18.07,2026-02-28T16:36:53Z,20260228_163653
401823962,UNC Asheville Bulldogs,Charleston Southern Buccaneers,-4.5,149.5,0.19,,151.1,,0.4908,-7.78,2.56,-2.88,-4.8,2026-02-28T16:36:53Z,20260228_163653
401823785,New Mexico Lobos,San Diego State Aztecs,-2.5,149.5,-6.54,,156.1,,0.673,13.98,10.09,4.77,14.46,2026-02-28T16:36:53Z,20260228_163653
401820773,Miami Hurricanes,Boston College Eagles,-15.5,143.5,-9.7,,145.2,,0.8044,3.25,6.69,-15.98,-14.23,2026-02-28T16:36:53Z,20260228_163653
401818437,South Dakota Coyotes,South Dakota State Jackrabbits,2.5,150.5,1.04,,148.6,,0.4632,-4.25,-2.14,12.45,1.66,2026-02-28T16:36:53Z,20260228_163653
401817690,Green Bay Phoenix,Youngstown State Penguins,-1.5,142.5,-0.59,,153.5,,0.5104,6.48,3.61,3.75,7.59,2026-02-28T16:36:53Z,20260228_163653
401814589,Bowling Green Falcons,Massachusetts Minutemen,-5.5,152.5,-7.22,,155.9,,0.7184,-6.55,-3.46,-7.2,-2.26,2026-02-28T16:36:53Z,20260228_163653
