dimension,group,n_games,ats_wins,ats_losses,ats_pushes,ats_win_rate,mean_abs_error,mean_signed_error,correct_side_rate,mean_confidence,sufficient_sample,pipeline_run_id
conference_tier,HIGH,45,22,23,0,0.4888888888888889,12.508888888888889,-3.0919999999999996,0.4888888888888889,0.5552222222222222,True,20260227_014011
conference_tier,LOW,93,51,42,0,0.5483870967741935,7.175806451612903,0.17537634408602146,0.6666666666666666,0.574516129032258,True,20260227_014011
conference_tier,MID,12,7,5,0,0.5833333333333334,4.525833333333334,1.0174999999999998,0.75,0.6536666666666666,False,20260227_014011
day_of_week,Fri,29,15,14,0,0.5172413793103449,5.456551724137931,1.6117241379310345,0.5862068965517241,0.48079310344827586,True,20260227_014011
day_of_week,Sun,47,26,21,0,0.5531914893617021,7.055106382978723,0.42574468085106393,0.6808510638297872,0.869127659574468,True,20260227_014011
day_of_week,Thu,22,9,13,0,0.4090909090909091,12.815,-2.889545454545454,0.5454545454545454,0.4394090909090909,True,20260227_014011
day_of_week,Wed,48,30,18,0,0.625,9.879166666666666,-1.5666666666666667,0.6666666666666666,0.4183333333333333,True,20260227_014011
favorite_side,away_fav,28,18,10,0,0.6428571428571429,6.9075,1.6432142857142857,0.5,0.7035357142857144,True,20260227_014011
favorite_side,home_fav,122,62,60,0,0.5081967213114754,8.943852459016394,-1.2838524590163933,0.6475409836065574,0.5455737704918033,True,20260227_014011
month,Feb,150,80,70,0,0.5333333333333333,8.563733333333333,-0.7374666666666666,0.62,0.57506,True,20260227_014011
spread_bucket,0-3,44,26,18,0,0.5909090909090909,8.821136363636363,1.5075,0.5681818181818182,0.6552045454545454,True,20260227_014011
spread_bucket,10+,6,0,6,0,0.0,4.993333333333333,-4.993333333333333,1.0,0.5783333333333333,False,20260227_014011
spread_bucket,3-6,88,49,39,0,0.5568181818181818,8.604545454545454,-1.8756818181818182,0.625,0.508,True,20260227_014011
spread_bucket,6-10,12,5,7,0,0.4166666666666667,9.105833333333335,1.5058333333333334,0.5833333333333334,0.7713333333333333,False,20260227_014011
conference_tier,HIGH,45,22,23,0,0.4888888888888889,12.508888888888889,-3.0919999999999996,0.4888888888888889,0.5552222222222222,True,20260227_013654
conference_tier,LOW,93,51,42,0,0.5483870967741935,7.175806451612903,0.17537634408602146,0.6666666666666666,0.574516129032258,True,20260227_013654
conference_tier,MID,12,7,5,0,0.5833333333333334,4.525833333333334,1.0174999999999998,0.75,0.6536666666666666,False,20260227_013654
day_of_week,Fri,29,15,14,0,0.5172413793103449,5.456551724137931,1.6117241379310345,0.5862068965517241,0.48079310344827586,True,20260227_013654
day_of_week,Sun,47,26,21,0,0.5531914893617021,7.055106382978723,0.42574468085106393,0.6808510638297872,0.869127659574468,True,20260227_013654
day_of_week,Thu,22,9,13,0,0.4090909090909091,12.815,-2.889545454545454,0.5454545454545454,0.4394090909090909,True,20260227_013654
day_of_week,Wed,48,30,18,0,0.625,9.879166666666666,-1.5666666666666667,0.6666666666666666,0.4183333333333333,True,20260227_013654
favorite_side,away_fav,28,18,10,0,0.6428571428571429,6.9075,1.6432142857142857,0.5,0.7035357142857144,True,20260227_013654
favorite_side,home_fav,122,62,60,0,0.5081967213114754,8.943852459016394,-1.2838524590163933,0.6475409836065574,0.5455737704918033,True,20260227_013654
month,Feb,150,80,70,0,0.5333333333333333,8.563733333333333,-0.7374666666666666,0.62,0.57506,True,20260227_013654
spread_bucket,0-3,44,26,18,0,0.5909090909090909,8.821136363636363,1.5075,0.5681818181818182,0.6552045454545454,True,20260227_013654
spread_bucket,10+,6,0,6,0,0.0,4.993333333333333,-4.993333333333333,1.0,0.5783333333333333,False,20260227_013654
spread_bucket,3-6,88,49,39,0,0.5568181818181818,8.604545454545454,-1.8756818181818182,0.625,0.508,True,20260227_013654
spread_bucket,6-10,12,5,7,0,0.4166666666666667,9.105833333333335,1.5058333333333334,0.5833333333333334,0.7713333333333333,False,20260227_013654
