combo_id,combo_type,signals,thresholds,hit_rate_su,hit_rate_ats,holdout_su,holdout_ats,p_value,n,fire_rate,seasons_passing,lx_days_flag,season_hit_rates,date_added,auto_merged,stale
20260306T233109Z_000,pair,WL_season_diff|FFC_L10_diff,"{""WL_season_diff"": 0.2, ""FFC_L10_diff"": 1}",0.8764,,0.8618,0.5333,0.0,542,0.1277,1,False,"{""2025"": 0.8764}",2026-03-06,True,False
20260306T233109Z_001,pair,WL_L10_diff|FFC_season_diff,"{""WL_L10_diff"": 0.2, ""FFC_season_diff"": 1}",0.875,,0.8595,0.4865,0.0,512,0.1206,1,False,"{""2025"": 0.875}",2026-03-06,True,False
20260306T233109Z_002,pair,WL_L7_diff|FFC_L4_diff,"{""WL_L7_diff"": 0.25, ""FFC_L4_diff"": 2}",0.8727,,0.8482,0.6,0.0,487,0.1148,1,False,"{""2025"": 0.8727}",2026-03-06,True,False
20260306T233109Z_003,pair,DPC_L12_diff|FFC_season_diff,"{""DPC_L12_diff"": 2, ""FFC_season_diff"": 1}",0.8705,,0.85,0.56,0.0,525,0.1237,1,False,"{""2025"": 0.8705}",2026-03-06,True,False
20260306T233109Z_004,pair,WL_season_diff|ODI_L12_diff,"{""WL_season_diff"": 0.2, ""ODI_L12_diff"": 10}",0.8687,,0.8897,0.5294,0.0,434,0.1023,1,False,"{""2025"": 0.8687}",2026-03-06,True,False
20260306T233109Z_005,pair,ANE_L10_diff|WL_season_diff,"{""ANE_L10_diff"": 5, ""WL_season_diff"": 0.2}",0.8684,,0.8509,0.5,0.0,684,0.1612,1,False,"{""2025"": 0.8684}",2026-03-06,True,False
20260306T233109Z_006,pair,WL_L7_diff|FFC_season_diff,"{""WL_L7_diff"": 0.25, ""FFC_season_diff"": 1}",0.8681,,0.8767,0.5106,0.0,599,0.1411,1,False,"{""2025"": 0.8681}",2026-03-06,True,False
20260306T233109Z_007,pair,WL_L10_diff|FFC_L4_diff,"{""WL_L10_diff"": 0.2, ""FFC_L4_diff"": 0}",0.8674,,0.8054,0.5208,0.0,558,0.1315,1,False,"{""2025"": 0.8674}",2026-03-06,True,False
20260306T233109Z_008,pair,WL_season_diff|MTI,"{""WL_season_diff"": 0.2, ""MTI"": 10}",0.867,,0.8514,0.5224,0.0,1000,0.2356,1,False,"{""2025"": 0.867}",2026-03-06,True,False
20260306T233109Z_009,pair,WL_L10_diff|ODI_L7_diff,"{""WL_L10_diff"": 0.2, ""ODI_L7_diff"": 15}",0.867,,0.8611,0.4545,0.0,436,0.1027,1,False,"{""2025"": 0.867}",2026-03-06,True,False
20260306T233109Z_010,pair,WL_L12_diff|FFC_season_diff,"{""WL_L12_diff"": 0.2, ""FFC_season_diff"": 1}",0.8668,,0.8732,0.4783,0.0,518,0.1221,1,False,"{""2025"": 0.8668}",2026-03-06,True,False
